candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-253187A3,GPT-4o,openai,One-shot,Hydrogenolysis,0.647436,0.615385,0.280225,0.778846,2,8
N2-32825277,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.858974,0.884615,0.15544,0.942308,0,0
N2-D1FC65D8,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.807692,0.923077,0.269231,0.75,1,2
N2-6D781EC4,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.897436,0.923077,0.117502,0.884615,0,0
N2-FEF2D208,GPT-4o,openai,One-shot,Photochemical oxidation,0.724359,0.692308,0.222889,0.826923,1,1
N2-A4FBAE37,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.923077,0.923077,0.076923,0.961539,0,0
N2-27F22989,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.916667,0.961538,0.112682,0.894231,0,0
N2-8B193490,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.935898,0.942308,0.067536,0.932692,0,0
N2-6A1144B7,GPT-4o,openai,One-shot,CuAAC,0.652778,0.708333,0.275073,0.802083,1,5
N2-08B84875,GPT-4o,openai,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.96875,0,0
N2-28623176,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.951389,0.958333,0.05243,0.947917,0,0
N2-13332D12,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.930555,0.958333,0.086736,0.916667,0,0
