candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-253187A3,GPT-4o,openai,One-shot,Hydrogenolysis,0.647436,0.615385,0.280225,0.778846,2,8,gpt4o,repeat_01,461960426,6f2eb510fa2a2a3d8d40cb994487ad914b65edd4ea82a8fda2e63511a8d8c08d,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/hydrogenolysis/gpt4o_one_shot/repeat_01
N2-32825277,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.858974,0.884615,0.15544,0.942308,0,0,gpt4o,repeat_01,461960426,f186e84d91c568e531d49c0dbfc769f9cb8568b3a0fb2497a83f3dfe44e7ae8f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/hydrogenolysis/gpt4o_flowpilot/repeat_01
N2-D1FC65D8,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.807692,0.923077,0.269231,0.75,1,2,claude_opus,repeat_01,904533537,88c26d8ef6c11fce89b0dd692d5af771fc2f4439462decde7459b3cf0cb2525f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/hydrogenolysis/claude_opus_one_shot/repeat_01
N2-6D781EC4,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.897436,0.923077,0.117502,0.884615,0,0,claude_opus,repeat_01,904533537,0a2c456c7a0a1643c60d82b4f22b7a81578364d176405b8db5c1b44799c178ee,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/hydrogenolysis/claude_opus_flowpilot/repeat_01
N2-FEF2D208,GPT-4o,openai,One-shot,Photochemical oxidation,0.724359,0.692308,0.222889,0.826923,1,1,gpt4o,repeat_01,690670121,a9b96069fc8b0af004c748018868510b47734b2ae9ed1d4b7420e80aa2f9b484,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/photochemical_oxidation/gpt4o_one_shot/repeat_01
N2-A4FBAE37,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.923077,0.923077,0.076923,0.961539,0,0,gpt4o,repeat_01,690670121,24ad15d42f134ce047139a5571bad7e78c66f58df7edc528582f51dc3a4f637f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/photochemical_oxidation/gpt4o_flowpilot/repeat_01
N2-27F22989,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.916667,0.961538,0.112682,0.894231,0,0,claude_opus,repeat_01,1007535521,43df514975052749c8e2cf46338d00a611a51ea27c3fd3ea3fa15b68ef26591f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/photochemical_oxidation/claude_opus_one_shot/repeat_01
N2-8B193490,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.935898,0.942308,0.067536,0.932692,0,0,claude_opus,repeat_01,1007535521,28088021671393f851bb27c50de3309ed6f1c711166740ef5152871c24c208fd,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/photochemical_oxidation/claude_opus_flowpilot/repeat_01
N2-6A1144B7,GPT-4o,openai,One-shot,CuAAC,0.652778,0.708333,0.275073,0.802083,1,5,gpt4o,repeat_01,1007467219,643908cecf1db380c8d93ec0a4adcd5b0fcb3d3ca7d21453cdd6850b618189a3,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/cuaac/gpt4o_one_shot/repeat_01
N2-08B84875,GPT-4o,openai,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.96875,0,0,gpt4o,repeat_01,1007467219,b77745b7d2cf678bec2488160deeee6aee3f64e25c3fa4150088f973a515da9f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/cuaac/gpt4o_flowpilot/repeat_01
N2-28623176,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.951389,0.958333,0.05243,0.947917,0,0,claude_opus,repeat_01,317821507,75f79be61aff8e808275ea7a0d78fde8f9c94627cc9cd80c5d349909196860d2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/cuaac/claude_opus_one_shot/repeat_01
N2-13332D12,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.930555,0.958333,0.086736,0.916667,0,0,claude_opus,repeat_01,317821507,7c1712d89afc0940866cb24829e4ba5cf9840a1aed6437b2f5f28361ea89c5a8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_one_round_20260821/generation/cuaac/claude_opus_flowpilot/repeat_01
