model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
Claude Opus 4.6,UO-01,0.972222,1.0,0.027778
Claude Opus 4.6,UO-02,0.944444,0.944444,0.0
Claude Opus 4.6,UO-03,0.833333,0.861111,0.027778
Claude Opus 4.6,UO-04,0.888889,0.861111,-0.027778
Claude Opus 4.6,UO-05,0.916667,0.972222,0.055556
Claude Opus 4.6,UO-06,0.944444,0.972222,0.027778
Claude Opus 4.6,UO-07,0.805556,0.916667,0.111111
Claude Opus 4.6,UO-08,0.75,0.875,0.125
Claude Opus 4.6,UO-10,0.944444,0.972222,0.027778
Claude Opus 4.6,UO-11,0.833333,0.805556,-0.027778
Claude Opus 4.6,UO-12,0.888889,0.916667,0.027778
Claude Opus 4.6,UO-13,0.888889,0.861111,-0.027778
Claude Opus 4.6,UO-14,0.916667,1.0,0.083333
GPT-4o,UO-01,0.888889,1.0,0.111111
GPT-4o,UO-02,0.694444,0.972222,0.277778
GPT-4o,UO-03,0.583333,0.833333,0.25
GPT-4o,UO-04,0.75,0.916667,0.166667
GPT-4o,UO-05,0.638889,0.972222,0.333333
GPT-4o,UO-06,0.638889,0.916667,0.277778
GPT-4o,UO-07,0.833333,0.916667,0.083333
GPT-4o,UO-08,0.333333,0.791667,0.458333
GPT-4o,UO-10,0.611111,0.944444,0.333333
GPT-4o,UO-11,0.694444,0.805556,0.111111
GPT-4o,UO-12,0.722222,0.916667,0.194444
GPT-4o,UO-13,0.555556,0.805556,0.25
GPT-4o,UO-14,0.722222,0.972222,0.25
