candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-253187A3,qwen,qwen,GPT-4o,openai,One-shot,Hydrogenolysis,0.942308,13,1,SCREEN_ONLY
N2-32825277,qwen,qwen,GPT-4o,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-D1FC65D8,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-6D781EC4,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-FEF2D208,qwen,qwen,GPT-4o,openai,One-shot,Photochemical oxidation,0.961538,13,0,EXECUTABLE
N2-A4FBAE37,qwen,qwen,GPT-4o,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-27F22989,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-8B193490,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-6A1144B7,qwen,qwen,GPT-4o,openai,One-shot,CuAAC,0.895833,12,0,EXECUTABLE
N2-08B84875,qwen,qwen,GPT-4o,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-28623176,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-13332D12,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-253187A3,openai,openai,GPT-4o,openai,One-shot,Hydrogenolysis,0.384615,13,7,BLOCKED
N2-32825277,openai,openai,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.692308,13,0,SCREEN_ONLY
N2-D1FC65D8,openai,openai,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.5,13,2,BLOCKED
N2-6D781EC4,openai,openai,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.769231,13,0,SCREEN_ONLY
N2-FEF2D208,openai,openai,GPT-4o,openai,One-shot,Photochemical oxidation,0.519231,13,1,BLOCKED
N2-A4FBAE37,openai,openai,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.846154,13,0,SCREEN_ONLY
N2-27F22989,openai,openai,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.788462,13,0,SCREEN_ONLY
N2-8B193490,openai,openai,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.865385,13,0,SCREEN_ONLY
N2-6A1144B7,openai,openai,GPT-4o,openai,One-shot,CuAAC,0.354167,12,5,BLOCKED
N2-08B84875,openai,openai,GPT-4o,openai,FlowPilot,CuAAC,0.895833,12,0,SCREEN_ONLY
N2-28623176,openai,openai,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.895833,12,0,SCREEN_ONLY
N2-13332D12,openai,openai,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.833333,12,0,SCREEN_ONLY
N2-253187A3,claude,anthropic,GPT-4o,openai,One-shot,Hydrogenolysis,0.615385,13,0,SCREEN_ONLY
N2-32825277,claude,anthropic,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.884615,13,0,SCREEN_ONLY
N2-D1FC65D8,claude,anthropic,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.923077,13,0,SCREEN_ONLY
N2-6D781EC4,claude,anthropic,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.923077,13,0,EXECUTABLE
N2-FEF2D208,claude,anthropic,GPT-4o,openai,One-shot,Photochemical oxidation,0.692308,13,0,SCREEN_ONLY
N2-A4FBAE37,claude,anthropic,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.923077,13,0,EXECUTABLE
N2-27F22989,claude,anthropic,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.961538,13,0,EXECUTABLE
N2-8B193490,claude,anthropic,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.942308,13,0,EXECUTABLE
N2-6A1144B7,claude,anthropic,GPT-4o,openai,One-shot,CuAAC,0.708333,12,0,SCREEN_ONLY
N2-08B84875,claude,anthropic,GPT-4o,openai,FlowPilot,CuAAC,0.9375,12,0,EXECUTABLE
N2-28623176,claude,anthropic,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.958333,12,0,SCREEN_ONLY
N2-13332D12,claude,anthropic,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.958333,12,0,EXECUTABLE
