model,architecture,judge,mean_score_0_1,critical_errors
Claude Opus 4.6,FlowPilot,claude,0.9412393333333333,0
Claude Opus 4.6,FlowPilot,openai,0.8226496666666666,0
Claude Opus 4.6,FlowPilot,qwen,1.0,0
Claude Opus 4.6,One-shot,claude,0.9476493333333332,0
Claude Opus 4.6,One-shot,openai,0.7280983333333334,2
Claude Opus 4.6,One-shot,qwen,1.0,0
GPT-4o,FlowPilot,claude,0.9150640000000001,0
GPT-4o,FlowPilot,openai,0.8114316666666667,0
GPT-4o,FlowPilot,qwen,1.0,0
GPT-4o,One-shot,claude,0.6720086666666667,0
GPT-4o,One-shot,openai,0.41933766666666666,13
GPT-4o,One-shot,qwen,0.9332263333333334,1
