model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Claude Opus 4.6,FlowPilot,CuAAC,BPR_bar,1,20.0,0.0,0.0,20.0,20.0
Claude Opus 4.6,FlowPilot,CuAAC,concentration_M,1,0.25,0.0,0.0,0.25,0.25
Claude Opus 4.6,FlowPilot,CuAAC,flow_rate_mL_min,1,0.6,0.0,0.0,0.6,0.6
Claude Opus 4.6,FlowPilot,CuAAC,reactor_volume_mL,1,0.3,0.0,0.0,0.3,0.3
Claude Opus 4.6,FlowPilot,CuAAC,residence_time_min,1,0.5,0.0,0.0,0.5,0.5
Claude Opus 4.6,FlowPilot,CuAAC,temperature_C,1,150.0,0.0,0.0,150.0,150.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,BPR_bar,1,21.0,0.0,0.0,21.0,21.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,concentration_M,1,0.126,0.0,0.0,0.126,0.126
Claude Opus 4.6,FlowPilot,Hydrogenolysis,flow_rate_mL_min,1,0.14936,0.0,0.0,0.14936,0.14936
Claude Opus 4.6,FlowPilot,Hydrogenolysis,reactor_volume_mL,1,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,residence_time_min,1,20.085699,0.0,0.0,20.085699,20.085699
Claude Opus 4.6,FlowPilot,Hydrogenolysis,temperature_C,1,60.0,0.0,0.0,60.0,60.0
Claude Opus 4.6,FlowPilot,Photochemical oxidation,BPR_bar,1,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,FlowPilot,Photochemical oxidation,concentration_M,1,0.1,0.0,0.0,0.1,0.1
Claude Opus 4.6,FlowPilot,Photochemical oxidation,flow_rate_mL_min,1,0.12427,0.0,0.0,0.12427,0.12427
Claude Opus 4.6,FlowPilot,Photochemical oxidation,reactor_volume_mL,1,1.0,0.0,0.0,1.0,1.0
Claude Opus 4.6,FlowPilot,Photochemical oxidation,residence_time_min,1,8.046994,0.0,0.0,8.046994,8.046994
Claude Opus 4.6,FlowPilot,Photochemical oxidation,temperature_C,1,21.0,0.0,0.0,21.0,21.0
Claude Opus 4.6,One-shot,CuAAC,BPR_bar,1,20.0,0.0,0.0,20.0,20.0
Claude Opus 4.6,One-shot,CuAAC,concentration_M,1,0.25,0.0,0.0,0.25,0.25
Claude Opus 4.6,One-shot,CuAAC,flow_rate_mL_min,1,0.1,0.0,0.0,0.1,0.1
Claude Opus 4.6,One-shot,CuAAC,reactor_volume_mL,1,0.3,0.0,0.0,0.3,0.3
Claude Opus 4.6,One-shot,CuAAC,residence_time_min,1,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,One-shot,CuAAC,temperature_C,1,150.0,0.0,0.0,150.0,150.0
Claude Opus 4.6,One-shot,Hydrogenolysis,BPR_bar,1,21.0,0.0,0.0,21.0,21.0
Claude Opus 4.6,One-shot,Hydrogenolysis,concentration_M,1,0.126,0.0,0.0,0.126,0.126
Claude Opus 4.6,One-shot,Hydrogenolysis,flow_rate_mL_min,1,0.15,0.0,0.0,0.15,0.15
Claude Opus 4.6,One-shot,Hydrogenolysis,reactor_volume_mL,1,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,One-shot,Hydrogenolysis,residence_time_min,1,20.0,0.0,0.0,20.0,20.0
Claude Opus 4.6,One-shot,Hydrogenolysis,temperature_C,1,60.0,0.0,0.0,60.0,60.0
Claude Opus 4.6,One-shot,Photochemical oxidation,BPR_bar,1,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,One-shot,Photochemical oxidation,concentration_M,1,0.1,0.0,0.0,0.1,0.1
Claude Opus 4.6,One-shot,Photochemical oxidation,flow_rate_mL_min,1,0.2,0.0,0.0,0.2,0.2
Claude Opus 4.6,One-shot,Photochemical oxidation,reactor_volume_mL,1,1.0,0.0,0.0,1.0,1.0
Claude Opus 4.6,One-shot,Photochemical oxidation,residence_time_min,1,5.0,0.0,0.0,5.0,5.0
Claude Opus 4.6,One-shot,Photochemical oxidation,temperature_C,1,21.0,0.0,0.0,21.0,21.0
GPT-4o,FlowPilot,CuAAC,BPR_bar,1,20.0,0.0,0.0,20.0,20.0
GPT-4o,FlowPilot,CuAAC,concentration_M,1,0.25,0.0,0.0,0.25,0.25
GPT-4o,FlowPilot,CuAAC,flow_rate_mL_min,1,0.11111,0.0,0.0,0.11111,0.11111
GPT-4o,FlowPilot,CuAAC,reactor_volume_mL,1,0.3,0.0,0.0,0.3,0.3
GPT-4o,FlowPilot,CuAAC,residence_time_min,1,2.700027,0.0,0.0,2.700027,2.700027
GPT-4o,FlowPilot,CuAAC,temperature_C,1,150.0,0.0,0.0,150.0,150.0
GPT-4o,FlowPilot,Hydrogenolysis,BPR_bar,1,21.0,0.0,0.0,21.0,21.0
GPT-4o,FlowPilot,Hydrogenolysis,concentration_M,1,0.126,0.0,0.0,0.126,0.126
GPT-4o,FlowPilot,Hydrogenolysis,flow_rate_mL_min,1,0.31198,0.0,0.0,0.31198,0.31198
GPT-4o,FlowPilot,Hydrogenolysis,reactor_volume_mL,1,3.0,0.0,0.0,3.0,3.0
GPT-4o,FlowPilot,Hydrogenolysis,residence_time_min,1,9.616001,0.0,0.0,9.616001,9.616001
GPT-4o,FlowPilot,Hydrogenolysis,temperature_C,1,60.0,0.0,0.0,60.0,60.0
GPT-4o,FlowPilot,Photochemical oxidation,BPR_bar,1,3.0,0.0,0.0,3.0,3.0
GPT-4o,FlowPilot,Photochemical oxidation,concentration_M,1,0.1,0.0,0.0,0.1,0.1
GPT-4o,FlowPilot,Photochemical oxidation,flow_rate_mL_min,1,0.31068,0.0,0.0,0.31068,0.31068
GPT-4o,FlowPilot,Photochemical oxidation,reactor_volume_mL,1,1.0,0.0,0.0,1.0,1.0
GPT-4o,FlowPilot,Photochemical oxidation,residence_time_min,1,3.218746,0.0,0.0,3.218746,3.218746
GPT-4o,FlowPilot,Photochemical oxidation,temperature_C,1,21.0,0.0,0.0,21.0,21.0
GPT-4o,One-shot,CuAAC,BPR_bar,1,20.0,0.0,0.0,20.0,20.0
GPT-4o,One-shot,CuAAC,concentration_M,1,0.25,0.0,0.0,0.25,0.25
GPT-4o,One-shot,CuAAC,flow_rate_mL_min,1,3.0,0.0,0.0,3.0,3.0
