model,architecture,case,repeat_id,parameter,value
Claude Opus 4.6,One-shot,Hydrogenolysis,repeat_01,residence_time_min,20.0
Claude Opus 4.6,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.15
Claude Opus 4.6,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Claude Opus 4.6,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
Claude Opus 4.6,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
Claude Opus 4.6,One-shot,Hydrogenolysis,repeat_01,BPR_bar,21.0
Claude Opus 4.6,One-shot,Photochemical oxidation,repeat_01,residence_time_min,5.0
Claude Opus 4.6,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.2
Claude Opus 4.6,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
Claude Opus 4.6,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
Claude Opus 4.6,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
Claude Opus 4.6,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
Claude Opus 4.6,One-shot,CuAAC,repeat_01,residence_time_min,3.0
Claude Opus 4.6,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.1
Claude Opus 4.6,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
Claude Opus 4.6,One-shot,CuAAC,repeat_01,temperature_C,150.0
Claude Opus 4.6,One-shot,CuAAC,repeat_01,concentration_M,0.25
Claude Opus 4.6,One-shot,CuAAC,repeat_01,BPR_bar,20.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,20.085699
Claude Opus 4.6,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.14936
Claude Opus 4.6,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
