model,architecture,case,n_repeats,mean_score_0_1,repeat_sd,score_range,exact_result_hash_count,exact_result_reproducible
Claude Opus 4.6,One-shot,Hydrogenolysis,1,0.807692,0.0,0.0,1,True
Claude Opus 4.6,One-shot,Photochemical oxidation,1,0.916667,0.0,0.0,1,True
Claude Opus 4.6,One-shot,CuAAC,1,0.951389,0.0,0.0,1,True
Claude Opus 4.6,FlowPilot,Hydrogenolysis,1,0.897436,0.0,0.0,1,True
Claude Opus 4.6,FlowPilot,Photochemical oxidation,1,0.935898,0.0,0.0,1,True
Claude Opus 4.6,FlowPilot,CuAAC,1,0.930555,0.0,0.0,1,True
GPT-4o,One-shot,Hydrogenolysis,1,0.647436,0.0,0.0,1,True
GPT-4o,One-shot,Photochemical oxidation,1,0.724359,0.0,0.0,1,True
GPT-4o,One-shot,CuAAC,1,0.652778,0.0,0.0,1,True
GPT-4o,FlowPilot,Hydrogenolysis,1,0.858974,0.0,0.0,1,True
GPT-4o,FlowPilot,Photochemical oxidation,1,0.923077,0.0,0.0,1,True
GPT-4o,FlowPilot,CuAAC,1,0.944444,0.0,0.0,1,True
