candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-253187A3,GPT-4o,openai,One-shot,Hydrogenolysis,0.647436,0.615385,0.280225,0.778846,2,8
N2-E87A3FB8,GPT-4o,openai,One-shot,Hydrogenolysis,0.576923,0.538462,0.23316,0.682692,2,9
N2-4262E82A,GPT-4o,openai,One-shot,Hydrogenolysis,0.634616,0.615385,0.279343,0.769231,1,2
N2-32825277,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.858974,0.884615,0.15544,0.942308,0,0
N2-92E5D876,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.865385,0.846154,0.126105,0.923077,0,0
N2-4A4E01EA,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.858974,0.884615,0.15544,0.942308,0,0
N2-D1FC65D8,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.807692,0.923077,0.269231,0.75,1,2
N2-B6923FF7,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.775641,0.884615,0.222889,0.721154,2,4
N2-FA39870F,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.807692,0.884615,0.240192,0.769231,1,1
N2-6D781EC4,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.897436,0.923077,0.117502,0.884615,0,0
N2-F2AE3DE5,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.884616,0.865385,0.107072,0.894231,0,0
N2-E8DC7B5D,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.903846,0.865385,0.083825,0.923077,0,0
N2-FEF2D208,GPT-4o,openai,One-shot,Photochemical oxidation,0.724359,0.692308,0.222889,0.826923,1,1
N2-68176A9D,GPT-4o,openai,One-shot,Photochemical oxidation,0.769231,0.730769,0.157411,0.836539,1,1
N2-24892F7D,GPT-4o,openai,One-shot,Photochemical oxidation,0.724359,0.692308,0.203822,0.817308,2,3
N2-A4FBAE37,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.923077,0.923077,0.076923,0.961539,0,0
N2-D5B1CE3D,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.916667,0.923077,0.086716,0.961539,0,0
N2-E85D424E,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.910256,0.903846,0.048396,0.932692,1,1
N2-27F22989,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.916667,0.961538,0.112682,0.894231,0,0
N2-86692261,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.897436,0.942308,0.130901,0.875,0,0
N2-E7B29D65,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.955128,0.961538,0.048396,0.951923,0,0
N2-8B193490,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.935898,0.942308,0.067536,0.932692,0,0
N2-3F0334A2,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.942308,0.048396,0.951923,0,0
N2-E2CFD0FB,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.961538,0.980769,0.05088,0.951923,0,0
N2-6A1144B7,GPT-4o,openai,One-shot,CuAAC,0.652778,0.708333,0.275073,0.802083,1,5
N2-24080647,GPT-4o,openai,One-shot,CuAAC,0.743056,0.729167,0.1671,0.822917,2,4
N2-4EC923B8,GPT-4o,openai,One-shot,CuAAC,0.680556,0.6875,0.198008,0.78125,2,4
N2-08B84875,GPT-4o,openai,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.96875,0,0
N2-63C165A4,GPT-4o,openai,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.96875,0,0
N2-36D03F78,GPT-4o,openai,FlowPilot,CuAAC,0.965278,0.958333,0.031823,0.979167,0,0
N2-28623176,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.951389,0.958333,0.05243,0.947917,0,0
N2-4AF1799E,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.923611,0.958333,0.098454,0.90625,0,0
N2-B98DAC1A,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.909722,0.979167,0.138715,0.875,0,0
N2-13332D12,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.930555,0.958333,0.086736,0.916667,0,0
N2-B28D84AA,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.965278,0.958333,0.031823,0.96875,0,0
N2-E9622AF5,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.958333,0.9375,0.036084,0.96875,0,0
