candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-253187A3,GPT-4o,openai,One-shot,Hydrogenolysis,0.647436,0.615385,0.280225,0.778846,2,8,gpt4o,repeat_01,461960426,6f2eb510fa2a2a3d8d40cb994487ad914b65edd4ea82a8fda2e63511a8d8c08d,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/gpt4o_one_shot/repeat_01
N2-E87A3FB8,GPT-4o,openai,One-shot,Hydrogenolysis,0.576923,0.538462,0.23316,0.682692,2,9,gpt4o,repeat_02,1330475050,c14072c8bb5afe63c82ebad7c7538fba737c23ebc93c2df33859e0b7128cdfa5,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/gpt4o_one_shot/repeat_02
N2-4262E82A,GPT-4o,openai,One-shot,Hydrogenolysis,0.634616,0.615385,0.279343,0.769231,1,2,gpt4o,repeat_03,1706167072,c31be37459b7a0d4792919b12b3cb10704c128a420e9eeadcbe71d34d198ebb7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/gpt4o_one_shot/repeat_03
N2-32825277,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.858974,0.884615,0.15544,0.942308,0,0,gpt4o,repeat_01,461960426,f186e84d91c568e531d49c0dbfc769f9cb8568b3a0fb2497a83f3dfe44e7ae8f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/gpt4o_flowpilot/repeat_01
N2-92E5D876,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.865385,0.846154,0.126105,0.923077,0,0,gpt4o,repeat_02,1330475050,7e1c42dec9f8cb1932859fd626760fb6b67ac89b4d120af2c9e0bac58a23aac0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/gpt4o_flowpilot/repeat_02
N2-4A4E01EA,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.858974,0.884615,0.15544,0.942308,0,0,gpt4o,repeat_03,1706167072,a4754b0123b6aeb98452786e3135d69ab012c5ba79cc13247ca056d228c400f9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/gpt4o_flowpilot/repeat_03
N2-D1FC65D8,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.807692,0.923077,0.269231,0.75,1,2,claude_opus,repeat_01,904533537,88c26d8ef6c11fce89b0dd692d5af771fc2f4439462decde7459b3cf0cb2525f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/claude_opus_one_shot/repeat_01
N2-B6923FF7,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.775641,0.884615,0.222889,0.721154,2,4,claude_opus,repeat_02,96205994,fcb5494b97312e4a871b7f40a6961876b4916a09f41df029181544221a372613,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/claude_opus_one_shot/repeat_02
N2-FA39870F,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.807692,0.884615,0.240192,0.769231,1,1,claude_opus,repeat_03,2119386628,a8a8345fdd5197b6283d669f30ca7eaf8bc14f12e46954475d61295990e44b99,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/claude_opus_one_shot/repeat_03
N2-6D781EC4,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.897436,0.923077,0.117502,0.884615,0,0,claude_opus,repeat_01,904533537,0a2c456c7a0a1643c60d82b4f22b7a81578364d176405b8db5c1b44799c178ee,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/claude_opus_flowpilot/repeat_01
N2-F2AE3DE5,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.884616,0.865385,0.107072,0.894231,0,0,claude_opus,repeat_02,96205994,2130859fdf600cb41a86406e361099fed5211b4846445ca97708d849abe5732e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/claude_opus_flowpilot/repeat_02
N2-E8DC7B5D,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,0.903846,0.865385,0.083825,0.923077,0,0,claude_opus,repeat_03,2119386628,b5c73acd800b82393ead19482a24e58eb00f6cea17b1f1a0ab30a58876bb787a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/hydrogenolysis/claude_opus_flowpilot/repeat_03
N2-FEF2D208,GPT-4o,openai,One-shot,Photochemical oxidation,0.724359,0.692308,0.222889,0.826923,1,1,gpt4o,repeat_01,690670121,a9b96069fc8b0af004c748018868510b47734b2ae9ed1d4b7420e80aa2f9b484,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/gpt4o_one_shot/repeat_01
N2-68176A9D,GPT-4o,openai,One-shot,Photochemical oxidation,0.769231,0.730769,0.157411,0.836539,1,1,gpt4o,repeat_02,814107587,eda1b1e835a3ec3504af7e8c11f57dd5a933b55c84965167b9e064d87ed75118,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/gpt4o_one_shot/repeat_02
