model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
Claude Opus 4.6,UO-01,0.972222,1.0,0.027778
Claude Opus 4.6,UO-02,0.916667,0.972222,0.055556
Claude Opus 4.6,UO-03,0.824074,0.87963,0.055556
Claude Opus 4.6,UO-04,0.87963,0.925926,0.046296
Claude Opus 4.6,UO-05,0.898148,0.962963,0.064815
Claude Opus 4.6,UO-06,0.935185,0.972222,0.037037
Claude Opus 4.6,UO-07,0.787037,0.907407,0.12037
Claude Opus 4.6,UO-08,0.736111,0.888889,0.152778
Claude Opus 4.6,UO-10,0.916667,0.990741,0.074074
Claude Opus 4.6,UO-11,0.851852,0.824074,-0.027778
Claude Opus 4.6,UO-12,0.907407,0.916667,0.009259
Claude Opus 4.6,UO-13,0.87037,0.861111,-0.009259
Claude Opus 4.6,UO-14,0.916667,0.990741,0.074074
GPT-4o,UO-01,0.944444,0.962963,0.018519
GPT-4o,UO-02,0.731481,0.972222,0.240741
GPT-4o,UO-03,0.583333,0.87037,0.287037
GPT-4o,UO-04,0.768519,0.907407,0.138889
GPT-4o,UO-05,0.611111,0.953704,0.342593
GPT-4o,UO-06,0.694444,0.944444,0.25
GPT-4o,UO-07,0.833333,0.916667,0.083333
GPT-4o,UO-08,0.333333,0.763889,0.430556
GPT-4o,UO-10,0.611111,0.953704,0.342593
GPT-4o,UO-11,0.712963,0.814815,0.101852
GPT-4o,UO-12,0.675926,0.925926,0.25
GPT-4o,UO-13,0.546296,0.833333,0.287037
GPT-4o,UO-14,0.722222,0.944444,0.222222
