candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-253187A3,qwen,qwen,GPT-4o,openai,One-shot,Hydrogenolysis,0.942308,13,1,SCREEN_ONLY
N2-E87A3FB8,qwen,qwen,GPT-4o,openai,One-shot,Hydrogenolysis,0.826923,13,1,SCREEN_ONLY
N2-4262E82A,qwen,qwen,GPT-4o,openai,One-shot,Hydrogenolysis,0.923077,13,0,SCREEN_ONLY
N2-32825277,qwen,qwen,GPT-4o,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-92E5D876,qwen,qwen,GPT-4o,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-4A4E01EA,qwen,qwen,GPT-4o,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-D1FC65D8,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-B6923FF7,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.923077,13,1,EXECUTABLE
N2-FA39870F,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-6D781EC4,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-F2AE3DE5,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-E8DC7B5D,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-FEF2D208,qwen,qwen,GPT-4o,openai,One-shot,Photochemical oxidation,0.961538,13,0,EXECUTABLE
N2-68176A9D,qwen,qwen,GPT-4o,openai,One-shot,Photochemical oxidation,0.942308,13,1,EXECUTABLE
N2-24892F7D,qwen,qwen,GPT-4o,openai,One-shot,Photochemical oxidation,0.942308,13,1,SCREEN_ONLY
N2-A4FBAE37,qwen,qwen,GPT-4o,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-D5B1CE3D,qwen,qwen,GPT-4o,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-E85D424E,qwen,qwen,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.903846,13,1,SCREEN_ONLY
N2-27F22989,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-86692261,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-E7B29D65,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-8B193490,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-3F0334A2,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-E2CFD0FB,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-6A1144B7,qwen,qwen,GPT-4o,openai,One-shot,CuAAC,0.895833,12,0,EXECUTABLE
N2-24080647,qwen,qwen,GPT-4o,openai,One-shot,CuAAC,0.916667,12,1,EXECUTABLE
N2-4EC923B8,qwen,qwen,GPT-4o,openai,One-shot,CuAAC,0.875,12,1,EXECUTABLE
N2-08B84875,qwen,qwen,GPT-4o,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-63C165A4,qwen,qwen,GPT-4o,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-36D03F78,qwen,qwen,GPT-4o,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-28623176,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-4AF1799E,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-B98DAC1A,qwen,qwen,Claude Opus 4.6,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-13332D12,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-B28D84AA,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-E9622AF5,qwen,qwen,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-253187A3,openai,openai,GPT-4o,openai,One-shot,Hydrogenolysis,0.384615,13,7,BLOCKED
N2-E87A3FB8,openai,openai,GPT-4o,openai,One-shot,Hydrogenolysis,0.365385,13,8,SCREEN_ONLY
N2-4262E82A,openai,openai,GPT-4o,openai,One-shot,Hydrogenolysis,0.365385,13,2,SCREEN_ONLY
N2-32825277,openai,openai,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.692308,13,0,SCREEN_ONLY
N2-92E5D876,openai,openai,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.75,13,0,SCREEN_ONLY
N2-4A4E01EA,openai,openai,GPT-4o,openai,FlowPilot,Hydrogenolysis,0.692308,13,0,SCREEN_ONLY
N2-D1FC65D8,openai,openai,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.5,13,2,BLOCKED
N2-B6923FF7,openai,openai,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.519231,13,3,SCREEN_ONLY
N2-FA39870F,openai,openai,Claude Opus 4.6,anthropic,One-shot,Hydrogenolysis,0.538462,13,1,SCREEN_ONLY
