model,case,repeat_id,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
Claude Opus 4.6,Hydrogenolysis,repeat_01,0.807692,0.897436,0.089744,0.75,0.884615,0.134615
Claude Opus 4.6,Hydrogenolysis,repeat_02,0.775641,0.884616,0.108975,0.721154,0.894231,0.173077
Claude Opus 4.6,Hydrogenolysis,repeat_03,0.807692,0.903846,0.096154,0.769231,0.923077,0.153846
Claude Opus 4.6,Photochemical oxidation,repeat_01,0.916667,0.935898,0.019231,0.894231,0.932692,0.038461
Claude Opus 4.6,Photochemical oxidation,repeat_02,0.897436,0.948718,0.051282,0.875,0.951923,0.076923
Claude Opus 4.6,Photochemical oxidation,repeat_03,0.955128,0.961538,0.00641,0.951923,0.951923,0.0
Claude Opus 4.6,CuAAC,repeat_01,0.951389,0.930555,-0.020834,0.947917,0.916667,-0.03125
Claude Opus 4.6,CuAAC,repeat_02,0.923611,0.965278,0.041667,0.90625,0.96875,0.0625
Claude Opus 4.6,CuAAC,repeat_03,0.909722,0.958333,0.048611,0.875,0.96875,0.09375
GPT-4o,Hydrogenolysis,repeat_01,0.647436,0.858974,0.211538,0.778846,0.942308,0.163462
GPT-4o,Hydrogenolysis,repeat_02,0.576923,0.865385,0.288462,0.682692,0.923077,0.240385
GPT-4o,Hydrogenolysis,repeat_03,0.634616,0.858974,0.224358,0.769231,0.942308,0.173077
GPT-4o,Photochemical oxidation,repeat_01,0.724359,0.923077,0.198718,0.826923,0.961539,0.134616
GPT-4o,Photochemical oxidation,repeat_02,0.769231,0.916667,0.147436,0.836539,0.961539,0.125
GPT-4o,Photochemical oxidation,repeat_03,0.724359,0.910256,0.185897,0.817308,0.932692,0.115384
GPT-4o,CuAAC,repeat_01,0.652778,0.944444,0.291666,0.802083,0.96875,0.166667
GPT-4o,CuAAC,repeat_02,0.743056,0.944444,0.201388,0.822917,0.96875,0.145833
GPT-4o,CuAAC,repeat_03,0.680556,0.965278,0.284722,0.78125,0.979167,0.197917
