model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Claude Opus 4.6,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Claude Opus 4.6,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Claude Opus 4.6,FlowPilot,CuAAC,flow_rate_mL_min,3,0.73333333,0.23094011,31.4918,0.6,1.0
Claude Opus 4.6,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Claude Opus 4.6,FlowPilot,CuAAC,residence_time_min,3,0.43333333,0.11547005,26.6469,0.3,0.5
Claude Opus 4.6,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Claude Opus 4.6,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.11645667,0.02849512,24.4684,0.1,0.14936
Claude Opus 4.6,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,residence_time_min,3,26.694233,5.72315852,21.4397,20.085699,30.0
Claude Opus 4.6,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Claude Opus 4.6,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Claude Opus 4.6,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.12427,0.0,0.0,0.12427,0.12427
Claude Opus 4.6,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Claude Opus 4.6,FlowPilot,Photochemical oxidation,residence_time_min,3,8.046994,0.0,0.0,8.046994,8.046994
Claude Opus 4.6,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
Claude Opus 4.6,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Claude Opus 4.6,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Claude Opus 4.6,One-shot,CuAAC,flow_rate_mL_min,3,0.15,0.05,33.3333,0.1,0.2
Claude Opus 4.6,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Claude Opus 4.6,One-shot,CuAAC,residence_time_min,3,2.16666667,0.76376262,35.2506,1.5,3.0
Claude Opus 4.6,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Claude Opus 4.6,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Opus 4.6,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Claude Opus 4.6,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.11666667,0.02886751,24.7436,0.1,0.15
Claude Opus 4.6,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,One-shot,Hydrogenolysis,residence_time_min,3,23.42333333,5.69716011,24.3226,20.0,30.0
Claude Opus 4.6,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Claude Opus 4.6,One-shot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 4.6,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Claude Opus 4.6,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.2,0.0,0.0,0.2,0.2
Claude Opus 4.6,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Claude Opus 4.6,One-shot,Photochemical oxidation,residence_time_min,3,5.0,0.0,0.0,5.0,5.0
Claude Opus 4.6,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
GPT-4o,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-4o,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-4o,FlowPilot,CuAAC,flow_rate_mL_min,3,0.11111,0.0,0.0,0.11111,0.11111
GPT-4o,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-4o,FlowPilot,CuAAC,residence_time_min,3,2.700027,0.0,0.0,2.700027,2.700027
GPT-4o,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
GPT-4o,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-4o,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-4o,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.25421667,0.05380969,21.1669,0.20551,0.31198
GPT-4o,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-4o,FlowPilot,Hydrogenolysis,residence_time_min,3,12.150246,2.49204487,20.5102,9.616001,14.59783
GPT-4o,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-4o,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
GPT-4o,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-4o,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.31068,0.0,0.0,0.31068,0.31068
GPT-4o,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-4o,FlowPilot,Photochemical oxidation,residence_time_min,3,3.218746,0.0,0.0,3.218746,3.218746
GPT-4o,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
GPT-4o,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-4o,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-4o,One-shot,CuAAC,flow_rate_mL_min,3,3.0,0.0,0.0,3.0,3.0
GPT-4o,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-4o,One-shot,CuAAC,residence_time_min,3,0.1,0.0,0.0,0.1,0.1
GPT-4o,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
GPT-4o,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-4o,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-4o,One-shot,Hydrogenolysis,flow_rate_mL_min,3,2.0,0.0,0.0,2.0,2.0
GPT-4o,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-4o,One-shot,Hydrogenolysis,residence_time_min,3,1.5,0.0,0.0,1.5,1.5
GPT-4o,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-4o,One-shot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
GPT-4o,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-4o,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.4,0.51961524,129.9038,0.1,1.0
GPT-4o,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-4o,One-shot,Photochemical oxidation,residence_time_min,3,7.0,5.19615242,74.2307,1.0,10.0
GPT-4o,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
