model,architecture,case,n_repeats,mean_score_0_1,repeat_sd,score_range,exact_result_hash_count,exact_result_reproducible
Claude Opus 4.6,One-shot,Hydrogenolysis,3,0.797008,0.018505,0.032051,3,False
Claude Opus 4.6,One-shot,Photochemical oxidation,3,0.923077,0.029375,0.057692,3,False
Claude Opus 4.6,One-shot,CuAAC,3,0.928241,0.021216,0.041667,3,False
Claude Opus 4.6,FlowPilot,Hydrogenolysis,3,0.895299,0.009791,0.01923,3,False
Claude Opus 4.6,FlowPilot,Photochemical oxidation,3,0.948718,0.01282,0.02564,3,False
Claude Opus 4.6,FlowPilot,CuAAC,3,0.951389,0.018374,0.034723,3,False
GPT-4o,One-shot,Hydrogenolysis,3,0.619658,0.037561,0.070513,3,False
GPT-4o,One-shot,Photochemical oxidation,3,0.739316,0.025907,0.044872,3,False
GPT-4o,One-shot,CuAAC,3,0.69213,0.046238,0.090278,3,False
GPT-4o,FlowPilot,Hydrogenolysis,3,0.861111,0.003701,0.006411,3,False
GPT-4o,FlowPilot,Photochemical oxidation,3,0.916667,0.006411,0.012821,3,False
GPT-4o,FlowPilot,CuAAC,3,0.951389,0.012029,0.020834,3,False
