series,yield_percent
batch,75.0
batch,51.0
batch,76.0
batch,98.0
batch,88.0
batch,92.0
batch,82.79
batch,36.0
batch,53.0
batch,92.0
batch,82.9
batch,80.0
batch,99.0
batch,96.0
batch,90.0
batch,93.0
batch,34.0
batch,24.0
batch,34.0
batch,99.0
batch,99.0
batch,70.8
batch,99.0
batch,87.0
batch,69.9
batch,100.0
batch,95.0
batch,82.2
batch,38.1
batch,67.0
batch,46.0
batch,94.0
batch,93.0
batch,99.0
batch,57.0
batch,83.0
batch,86.0
batch,92.0
batch,28.0
batch,73.0
batch,96.0
batch,60.0
batch,100.0
batch,80.0
batch,100.0
batch,95.0
batch,12.0
batch,63.6
batch,89.0
batch,99.0
batch,70.92
batch,45.0
batch,52.0
batch,0.3
batch,95.0
batch,94.0
batch,43.0
batch,54.0
batch,67.0
batch,99.0
batch,98.0
batch,94.0
batch,92.0
batch,85.0
batch,99.0
batch,70.0
batch,95.0
batch,70.0
batch,95.2
batch,94.0
batch,96.0
batch,86.0
batch,59.0
batch,69.0
batch,86.0
batch,60.0
batch,91.0
batch,22.0
batch,75.0
batch,90.0
batch,70.0
batch,95.0
batch,98.0
batch,86.0
batch,40.0
batch,5.0
batch,90.0
batch,59.0
batch,59.0
batch,83.0
batch,23.0
batch,99.3
batch,96.0
batch,90.0
batch,76.0
batch,80.0
batch,93.0
batch,51.0
batch,28.0
batch,89.0
batch,70.0
batch,92.0
batch,91.0
batch,69.0
batch,70.0
batch,86.0
batch,55.0
batch,64.0
batch,76.0
batch,78.0
batch,59.6
batch,16.0
batch,73.7
batch,8.0
batch,60.0
batch,82.0
batch,27.0
batch,43.0
batch,98.0
batch,66.0
batch,81.0
batch,85.0
batch,47.0
batch,95.0
batch,52.0
batch,94.0
batch,45.0
batch,4.0
batch,60.0
batch,42.0
batch,86.0
batch,55.0
batch,5.0
batch,46.0
batch,95.0
