candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-41CA7987,Qwen3.6-27B,qwen,One-shot,CuAAC,0.864583,0.864583,0.191508,0.729167,0,0
N2-DC6CF985,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.423077,0.423077,0.244768,0.25,2,14
N2-8A22FF9F,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,0.798077,0.798077,0.14958,0.692308,1,1
N2-E9B5A89D,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.916667,0.916667,0.117851,0.833333,0,0
N2-D3A6858C,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.846154,0.846154,0.217571,0.692308,1,1
N2-EE130514,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,0.875,0.875,0.176777,0.75,0,0
N2-61AB5D71,GPT-5.4,openai,One-shot,CuAAC,0.958333,0.958333,0.058925,1.0,0,0
N2-D8D032E0,GPT-5.4,openai,One-shot,Hydrogenolysis,0.865385,0.865385,0.135982,0.961538,1,1
N2-AC3A78AD,GPT-5.4,openai,One-shot,Two-stage amidation,0.85577,0.85577,0.095187,0.923077,0,0
N2-1601F74A,GPT-5.4,openai,FlowPilot,CuAAC,0.958333,0.958333,0.058925,1.0,0,0
N2-8B18634D,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.942308,0.942308,0.08159,1.0,0,0
N2-A358F3C0,GPT-5.4,openai,FlowPilot,Two-stage amidation,0.961539,0.961539,0.054393,1.0,0,0
