candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-41CA7987,qwen,qwen,Qwen3.6-27B,qwen,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-DC6CF985,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.596154,13,5,BLOCKED
N2-8A22FF9F,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,0.903846,13,0,EXECUTABLE
N2-E9B5A89D,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-D3A6858C,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-EE130514,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1.0,13,0,EXECUTABLE
N2-61AB5D71,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-D8D032E0,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,0.961538,13,0,EXECUTABLE
N2-AC3A78AD,qwen,qwen,GPT-5.4,openai,One-shot,Two-stage amidation,0.923077,13,0,EXECUTABLE
N2-1601F74A,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-8B18634D,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-A358F3C0,qwen,qwen,GPT-5.4,openai,FlowPilot,Two-stage amidation,1.0,13,0,EXECUTABLE
N2-41CA7987,openai,openai,Qwen3.6-27B,qwen,One-shot,CuAAC,0.729167,12,0,SCREEN_ONLY
N2-DC6CF985,openai,openai,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.25,13,9,BLOCKED
N2-8A22FF9F,openai,openai,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,0.692308,13,1,SCREEN_ONLY
N2-E9B5A89D,openai,openai,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.833333,12,0,SCREEN_ONLY
N2-D3A6858C,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.692308,13,1,SCREEN_ONLY
N2-EE130514,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,0.75,13,0,SCREEN_ONLY
N2-61AB5D71,openai,openai,GPT-5.4,openai,One-shot,CuAAC,0.916667,12,0,SCREEN_ONLY
N2-D8D032E0,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.769231,13,1,SCREEN_ONLY
N2-AC3A78AD,openai,openai,GPT-5.4,openai,One-shot,Two-stage amidation,0.788462,13,0,SCREEN_ONLY
N2-1601F74A,openai,openai,GPT-5.4,openai,FlowPilot,CuAAC,0.916667,12,0,SCREEN_ONLY
N2-8B18634D,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.884615,13,0,SCREEN_ONLY
N2-A358F3C0,openai,openai,GPT-5.4,openai,FlowPilot,Two-stage amidation,0.923077,13,0,SCREEN_ONLY
