candidate_id,generator_model,architecture,case,applicable_criteria,deterministic_errors,critical_errors,failed_criterion_ids
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,17,0,0,
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,19,7,7,NG-01;NG-02;NG-15;NG-16;NG-17;NG-19;NG-20
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,17,1,1,NG-13
H-DF8A379,Qwen3.6-27B,FlowPilot,CuAAC,17,0,0,
H-6FDB11C,Qwen3.6-27B,FlowPilot,Hydrogenolysis,19,0,0,
H-8623F1F,Qwen3.6-27B,FlowPilot,Two-stage amidation,17,0,0,
H-3F4393D,GPT-5.4,One-shot,CuAAC,17,0,0,
H-389F7B0,GPT-5.4,One-shot,Hydrogenolysis,19,3,3,NG-01;NG-16;NG-17
H-53840AF,GPT-5.4,One-shot,Two-stage amidation,17,1,1,NG-13
H-1B0875F,GPT-5.4,FlowPilot,CuAAC,17,0,0,
H-9449CD3,GPT-5.4,FlowPilot,Hydrogenolysis,19,0,0,
H-470478E,GPT-5.4,FlowPilot,Two-stage amidation,17,0,0,
