candidate_id,generator_model,architecture,case,json_path,field,value
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.residence_time_min,residence_time_min,3.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.temperature_C,temperature_C,150.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.concentration_M,concentration_M,0.25
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.BPR_bar,BPR_bar,20.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.tubing_ID_mm,tubing_ID_mm,4.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.reactor_volume_mL,reactor_volume_mL,0.3
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.residence_time_inlet_min,residence_time_inlet_min,0.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.residence_time_in_channel_min,residence_time_in_channel_min,0.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.streams[0].flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.streams[0].molar_equiv,molar_equiv,1.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[0].flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[0].temperature_C,temperature_C,25
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[0].pressure_bar,pressure_bar,20.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[1].flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[1].temperature_C,temperature_C,150
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[1].pressure_bar,pressure_bar,20.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[1].residence_time_min,residence_time_min,3.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[1].volume_mL,volume_mL,0.3
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[2].flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[2].temperature_C,temperature_C,25
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.proposal.stage_parameters[2].pressure_bar,pressure_bar,1.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.residence_time_min,residence_time_min,3.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.temperature_C,temperature_C,150
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.concentration_M,concentration_M,0.25
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.BPR_bar,BPR_bar,20.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.tubing_ID_mm,tubing_ID_mm,4.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.reactor_volume_mL,reactor_volume_mL,0.3
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.residence_time_inlet_min,residence_time_inlet_min,0.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.residence_time_in_channel_min,residence_time_in_channel_min,0.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.streams[0].flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.streams[0].composition.reagents[0].equiv,equiv,1.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.streams[0].composition.reagents[1].equiv,equiv,1.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.streams[0].composition.concentration_M,concentration_M,0.25
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.streams[0].molar_equiv,molar_equiv,1.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.stage_parameters[0].flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.stage_parameters[0].temperature_C,temperature_C,25
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.stage_parameters[0].pressure_bar,pressure_bar,20.0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.stage_parameters[1].flow_rate_mL_min,flow_rate_mL_min,0.1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,$.raw_proposal.stage_parameters[1].temperature_C,temperature_C,150
