candidate_id,generator_model,architecture,case,domain,criterion_id,cross_family_judges,cross_family_consensus,consensus_severity,qwen_status,openai_status,claude_status,all_judges_error_votes,all_judges_pass_votes,all_judges_not_assessable_votes
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,chemistry_protocol,HC-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,chemistry_protocol,HC-03,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-04,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,process_inventory,HP-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-02,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-03,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-05,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,evidence_uncertainty,HE-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,evidence_uncertainty,HE-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,evidence_uncertainty,HE-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-01,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-05,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,chemistry_protocol,HC-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,chemistry_protocol,HC-03,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-03,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-03,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-03,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-05,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-01,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-01,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-03,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-05,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
