model,architecture,case,quality_assurance,deployment_readiness,deterministic_composite,gate_count,gate_reasons,schema_valid,final_design_status,disposition,run_directory,dimension_formal_validity,dimension_engineering_integrity,dimension_process_completeness,dimension_safety_adequacy,dimension_evidence_provenance,dimension_decision_assurance,dimension_actionability_calibration
Qwen3.6-27B,One-shot,CuAAC,0.7125,0.7125,0.9643,0,,True,one-shot output,EXECUTE,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_benchmark_v1_pilot_cuaac_20260813/runs/qwen27b_one_shot,1.0,1.0,0.75,1.0,0.3,0.1,1.0
Qwen3.6-27B,One-shot,Hydrogenolysis,0.6661,0.6,0.8367,1,pump_infeasible,True,one-shot output,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_benchmark_v1_pilot_hydrogenolysis_20260813/runs/qwen27b_one_shot,1.0,0.85,0.8571,1.0,0.25,0.1,0.6
Qwen3.6-27B,One-shot,Two-stage amidation,0.6425,0.6,0.8571,1,geometry_inconsistent,True,one-shot output,EXECUTE,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_benchmark_v1_pilot_multistep_20260813/runs/qwen27b_one_shot,1.0,0.65,1.0,1.0,0.3,0.1,0.6
Qwen3.6-27B,FlowPilot,CuAAC,0.9225,0.9225,0.9643,0,,True,executable,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot,1.0,1.0,0.75,1.0,1.0,0.85,0.8
Qwen3.6-27B,FlowPilot,Hydrogenolysis,0.99,0.99,1.0,0,,True,executable,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/hydrogenolysis_qwen27b_full_flowpilot,1.0,1.0,1.0,1.0,1.0,1.0,0.8
Qwen3.6-27B,FlowPilot,Two-stage amidation,0.9614,0.9614,0.9796,0,,True,executable,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_multistep_repaired_20260813_151952/multistep_qwen27b_full_flowpilot,1.0,0.8857,1.0,1.0,1.0,1.0,0.8
GPT-5.4,One-shot,CuAAC,0.75,0.75,1.0,0,,True,one-shot output,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_openai_three_case_20260813_155908/cuaac_gpt54_one_shot,1.0,1.0,1.0,1.0,0.3,0.1,1.0
GPT-5.4,One-shot,Hydrogenolysis,0.75,0.75,1.0,0,,True,one-shot output,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_openai_three_case_20260813_155908/hydrogenolysis_gpt54_one_shot,1.0,1.0,1.0,1.0,0.3,0.1,1.0
GPT-5.4,One-shot,Two-stage amidation,0.725,0.725,1.0,0,,True,one-shot output,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_openai_repaired_cells_20260813_161126/multistep_gpt54_one_shot,1.0,0.9,1.0,1.0,0.3,0.1,1.0
GPT-5.4,FlowPilot,CuAAC,0.96,0.96,1.0,0,,True,executable,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_openai_three_case_20260813_155908/cuaac_gpt54_full_flowpilot,1.0,1.0,1.0,1.0,1.0,0.85,0.8
GPT-5.4,FlowPilot,Hydrogenolysis,0.9386,0.9386,0.9796,0,,True,executable,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_openai_repaired_cells_20260813_161126/hydrogenolysis_gpt54_full_flowpilot,1.0,1.0,0.8571,1.0,1.0,0.85,0.8
GPT-5.4,FlowPilot,Two-stage amidation,0.9614,0.9614,0.9796,0,,True,executable,SCREEN,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_openai_three_case_20260813_155908/multistep_gpt54_full_flowpilot,1.0,0.8857,1.0,1.0,1.0,1.0,0.8
