candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-214B9E89,qwen,qwen,Qwen3.6-27B,qwen,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-DE9454B0,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-45C1A6CF,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-DE57F440,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-A64BBF1E,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.865385,13,2,EXECUTABLE
N2-CBD2FE26,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-09AF5CB0,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-9A713DEA,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-2F3104B5,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,1.0,13,0,EXECUTABLE
N2-07143A9C,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1.0,13,0,EXECUTABLE
N2-81AD999E,qwen,qwen,GPT-5.4,openai,One-shot,Two-stage amidation,0.980769,13,0,EXECUTABLE
N2-66CE2C7C,qwen,qwen,GPT-5.4,openai,FlowPilot,Two-stage amidation,0.5,13,8,BLOCKED
N2-721FFBB6,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Exothermic dinitration,1.0,12,0,EXECUTABLE
N2-28BC6EB0,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Exothermic dinitration,1.0,12,0,EXECUTABLE
N2-E1E50129,qwen,qwen,GPT-5.4,openai,One-shot,Exothermic dinitration,1.0,12,0,EXECUTABLE
N2-B9C4306A,qwen,qwen,GPT-5.4,openai,FlowPilot,Exothermic dinitration,0.916667,12,0,SCREEN_ONLY
N2-8741705A,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.942308,13,1,SCREEN_ONLY
N2-2FF6EA33,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,BLOCKED
N2-EA1F3CBC,qwen,qwen,GPT-5.4,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-4061E17E,qwen,qwen,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.942308,13,1,EXECUTABLE
N2-214B9E89,openai,openai,Qwen3.6-27B,qwen,One-shot,CuAAC,0.729167,12,0,SCREEN_ONLY
N2-DE9454B0,openai,openai,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.833333,12,0,SCREEN_ONLY
N2-45C1A6CF,openai,openai,GPT-5.4,openai,One-shot,CuAAC,0.8125,12,0,SCREEN_ONLY
N2-DE57F440,openai,openai,GPT-5.4,openai,FlowPilot,CuAAC,0.916667,12,0,SCREEN_ONLY
N2-A64BBF1E,openai,openai,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.326923,13,1,BLOCKED
N2-CBD2FE26,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.538462,13,0,SCREEN_ONLY
N2-09AF5CB0,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.826923,13,0,SCREEN_ONLY
N2-9A713DEA,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.673077,13,2,SCREEN_ONLY
N2-2F3104B5,openai,openai,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,0.519231,13,0,SCREEN_ONLY
N2-07143A9C,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,0.5,13,3,BLOCKED
N2-81AD999E,openai,openai,GPT-5.4,openai,One-shot,Two-stage amidation,0.769231,13,0,SCREEN_ONLY
N2-66CE2C7C,openai,openai,GPT-5.4,openai,FlowPilot,Two-stage amidation,0.557692,13,0,SCREEN_ONLY
N2-721FFBB6,openai,openai,Qwen3.6-27B,qwen,One-shot,Exothermic dinitration,0.395833,12,0,SCREEN_ONLY
N2-28BC6EB0,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Exothermic dinitration,0.583333,12,2,BLOCKED
N2-E1E50129,openai,openai,GPT-5.4,openai,One-shot,Exothermic dinitration,0.729167,12,0,SCREEN_ONLY
N2-B9C4306A,openai,openai,GPT-5.4,openai,FlowPilot,Exothermic dinitration,0.5625,12,1,SCREEN_ONLY
N2-8741705A,openai,openai,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.596154,13,0,SCREEN_ONLY
N2-2FF6EA33,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.326923,13,6,BLOCKED
N2-EA1F3CBC,openai,openai,GPT-5.4,openai,One-shot,Photochemical oxidation,0.903846,13,0,SCREEN_ONLY
N2-4061E17E,openai,openai,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.423077,13,5,BLOCKED
