model,case,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
GPT-5.4,CuAAC,0.958333,0.958333,0.0,1.0,1.0,0.0
GPT-5.4,Exothermic dinitration,0.90625,0.739583,-0.166667,1.0,0.916667,-0.083333
GPT-5.4,Hydrogenolysis,0.903846,0.836539,-0.067307,1.0,1.0,0.0
GPT-5.4,Photochemical oxidation,0.038462,0.682693,0.644231,0.0,0.942308,0.942308
GPT-5.4,Two-stage amidation,0.865385,0.528846,-0.336539,1.0,0.5,-0.5
Qwen3.6-27B,CuAAC,0.854167,0.916667,0.0625,0.708333,0.833333,0.125
Qwen3.6-27B,Exothermic dinitration,0.604167,0.791667,0.1875,0.291667,0.583333,0.291666
Qwen3.6-27B,Hydrogenolysis,0.028846,0.769231,0.740385,0.057692,0.538462,0.48077
Qwen3.6-27B,Photochemical oxidation,0.038462,0.663462,0.625,0.076923,0.326923,0.25
Qwen3.6-27B,Two-stage amidation,0.105769,0.75,0.644231,0.211538,0.5,0.288462
