candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-214B9E89,Qwen3.6-27B,qwen,One-shot,CuAAC,0.833333,0.833333,0.235702,0.666667,0,0
N2-DE9454B0,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.916667,0.916667,0.117851,0.833333,0,0
N2-45C1A6CF,GPT-5.4,openai,One-shot,CuAAC,0.9375,0.9375,0.088388,1.0,0,0
N2-DE57F440,GPT-5.4,openai,FlowPilot,CuAAC,0.958333,0.958333,0.058925,1.0,0,0
N2-A64BBF1E,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.596154,0.596154,0.38075,0.326923,2,9
N2-CBD2FE26,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.798077,0.798077,0.258366,0.615385,1,1
N2-09AF5CB0,GPT-5.4,openai,One-shot,Hydrogenolysis,0.884615,0.884615,0.163178,1.0,0,0
N2-9A713DEA,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.788461,0.788461,0.299161,1.0,0,0
N2-2F3104B5,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,0.769231,0.769231,0.326357,0.538462,0,0
N2-07143A9C,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,0.855769,0.855769,0.203973,0.711538,1,1
N2-81AD999E,GPT-5.4,openai,One-shot,Two-stage amidation,0.913461,0.913461,0.095187,0.980769,0,0
N2-66CE2C7C,GPT-5.4,openai,FlowPilot,Two-stage amidation,0.875,0.875,0.176777,1.0,1,1
N2-721FFBB6,Qwen3.6-27B,qwen,One-shot,Exothermic dinitration,0.75,0.75,0.353553,0.5,1,2
N2-28BC6EB0,Qwen3.6-27B,qwen,FlowPilot,Exothermic dinitration,0.78125,0.78125,0.309359,0.5625,0,0
N2-E1E50129,GPT-5.4,openai,One-shot,Exothermic dinitration,0.864583,0.864583,0.191508,1.0,0,0
N2-B9C4306A,GPT-5.4,openai,FlowPilot,Exothermic dinitration,0.833333,0.833333,0.235702,1.0,1,1
N2-8741705A,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.769231,0.769231,0.244768,0.596154,1,1
N2-2FF6EA33,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.855769,0.855769,0.203973,0.711538,1,1
N2-EA1F3CBC,GPT-5.4,openai,One-shot,Photochemical oxidation,0.942308,0.942308,0.08159,1.0,0,0
N2-4061E17E,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.942308,0.942308,0.08159,1.0,0,0
