model,case,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
GPT-5.4,CuAAC,0.9375,0.958333,0.020833,1.0,1.0,0.0
GPT-5.4,Exothermic dinitration,0.864583,0.833333,-0.03125,1.0,1.0,0.0
GPT-5.4,Hydrogenolysis,0.884615,0.788461,-0.096154,1.0,1.0,0.0
GPT-5.4,Photochemical oxidation,0.942308,0.942308,0.0,1.0,1.0,0.0
GPT-5.4,Two-stage amidation,0.913461,0.875,-0.038461,0.980769,1.0,0.019231
Qwen3.6-27B,CuAAC,0.833333,0.916667,0.083334,0.666667,0.833333,0.166666
Qwen3.6-27B,Exothermic dinitration,0.75,0.78125,0.03125,0.5,0.5625,0.0625
Qwen3.6-27B,Hydrogenolysis,0.596154,0.798077,0.201923,0.326923,0.615385,0.288462
Qwen3.6-27B,Photochemical oxidation,0.769231,0.855769,0.086538,0.596154,0.711538,0.115384
Qwen3.6-27B,Two-stage amidation,0.769231,0.855769,0.086538,0.538462,0.711538,0.173076
