case,model,architecture,candidate_id,output_contract,schema_valid,assessable_outcome,final_contract_status,reported_disposition,consensus_score_0_1,judge_sd,critical_flags,run_directory
CuAAC,Qwen3.6-27B,One-shot,N2-214B9E89,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.833333,0.235702,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/cuaac/qwen_one_shot/repeat_01
CuAAC,Qwen3.6-27B,FlowPilot,N2-DE9454B0,production_final_contract,True,True,executable,SCREEN,0.916667,0.117851,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/cuaac/qwen_flowpilot/repeat_01
CuAAC,GPT-5.4,One-shot,N2-45C1A6CF,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.9375,0.088388,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/cuaac/openai_one_shot/repeat_01
CuAAC,GPT-5.4,FlowPilot,N2-DE57F440,production_final_contract,True,True,executable,SCREEN,0.958333,0.058925,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/cuaac/openai_flowpilot/repeat_01
Hydrogenolysis,Qwen3.6-27B,One-shot,N2-A64BBF1E,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.596154,0.38075,9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/hydrogenolysis/qwen_one_shot/repeat_01
Hydrogenolysis,Qwen3.6-27B,FlowPilot,N2-CBD2FE26,production_final_contract,True,True,executable,SCREEN,0.798077,0.258366,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/hydrogenolysis/qwen_flowpilot/repeat_01
Hydrogenolysis,GPT-5.4,One-shot,N2-09AF5CB0,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.884615,0.163178,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/hydrogenolysis/openai_one_shot/repeat_01
Hydrogenolysis,GPT-5.4,FlowPilot,N2-9A713DEA,production_final_contract,True,True,executable,SCREEN,0.788461,0.299161,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/hydrogenolysis/openai_flowpilot/repeat_01
Two-stage amidation,Qwen3.6-27B,One-shot,N2-2F3104B5,direct_json_object_v2,True,True,not_applicable_one_shot,SCREEN,0.769231,0.326357,0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/two_stage_amidation/qwen_one_shot/repeat_01
Two-stage amidation,Qwen3.6-27B,FlowPilot,N2-07143A9C,production_final_contract,True,True,executable,SCREEN,0.855769,0.203973,1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_five_case_v2_systemic_fix_20260819/generation/two_stage_amidation/qwen_flowpilot/repeat_01
