model,case,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
GPT-5.4,CuAAC,0.9375,0.96875,0.03125,1.0,1.0,0.0
GPT-5.4,Exothermic dinitration,0.864583,0.854167,-0.010416,1.0,1.0,0.0
GPT-5.4,Hydrogenolysis,0.884615,0.913461,0.028846,1.0,1.0,0.0
GPT-5.4,Photochemical oxidation,0.942308,0.951923,0.009615,1.0,1.0,0.0
GPT-5.4,Two-stage amidation,0.913461,0.913461,0.0,0.980769,1.0,0.019231
Qwen3.6-27B,CuAAC,0.833333,0.947917,0.114584,0.666667,0.895833,0.229166
Qwen3.6-27B,Exothermic dinitration,0.75,0.854167,0.104167,0.5,0.708333,0.208333
Qwen3.6-27B,Hydrogenolysis,0.596154,0.855769,0.259615,0.326923,0.711538,0.384615
Qwen3.6-27B,Photochemical oxidation,0.769231,0.913461,0.14423,0.596154,0.826923,0.230769
Qwen3.6-27B,Two-stage amidation,0.769231,0.884615,0.115384,0.538462,0.769231,0.230769
