candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-A64BBF1E,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.705128,0.673077,0.280224,0.557693,1,5,qwen,repeat_01,1380837172,88239a9a7688e7eb079606332cb097119463c54c27ce245945048973a7e487eb,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/qwen_one_shot/repeat_01
N2-2FC5E8BD,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.538461,0.653846,0.269231,0.442308,2,15,qwen,repeat_02,921552787,b5d709fa416ab8632d1a0f0ea8407192d2616f57b3f9540e141240670be4e9a7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/qwen_one_shot/repeat_02
N2-4161B724,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.679487,0.653846,0.270145,0.538462,1,4,qwen,repeat_03,1139754451,d230f16f891eee98080e20c7193062bf221fafc58292031206953802fbf62242,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/qwen_one_shot/repeat_03
N2-CBD2FE26,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.858974,0.884615,0.15544,0.788462,0,0,qwen,repeat_01,239244106,8e774a34fbd0e2ff83c0308f666d89d8a7d97c41b165875a36688ed576d77006,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/qwen_flowpilot/repeat_01
N2-B9429910,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.878205,0.865385,0.115917,0.817308,0,0,qwen,repeat_02,1896330405,175c56a79544aff3d1ea896c7e8ba64692f96f5052029cca871d0ccbb9a15d8e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/qwen_flowpilot/repeat_02
N2-97F0F815,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.852564,0.884615,0.165801,0.778846,0,0,qwen,repeat_03,725813093,1709cd8343b3d6fb7bd77034c4190e65373f2b083c51afccd116bf66f3ebb1b2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/qwen_flowpilot/repeat_03
N2-09AF5CB0,GPT-5.4,openai,One-shot,Hydrogenolysis,0.891026,0.903846,0.115917,0.951923,1,1,openai,repeat_01,670273824,15c07aefac24ba25ef41729205c3df8a1718c7a4a0f6f324506710c3588edde2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/openai_one_shot/repeat_01
N2-259B1D8D,GPT-5.4,openai,One-shot,Hydrogenolysis,0.871795,0.884615,0.07772,0.913462,1,1,openai,repeat_02,1105597970,089d9e0e01559dd5154848041f49bedc3424da150b41ee80f9fe2e4a652423fa,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/openai_one_shot/repeat_02
N2-12141CAC,GPT-5.4,openai,One-shot,Hydrogenolysis,0.871795,0.884615,0.07772,0.913462,0,0,openai,repeat_03,1773314719,907d7b312031d19cf18164ba638e63b4a1f816c8013e353d8fd3a3099a03fddf,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/openai_one_shot/repeat_03
N2-9A713DEA,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.878205,0.865385,0.115917,0.932692,0,0,openai,repeat_01,628978606,0cff7491f966446a94f6aa315a33ddc572ff3b642244d8cd3d7dbde7d241510e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/openai_flowpilot/repeat_01
N2-3FCDFE52,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.852564,0.884615,0.165801,0.942308,1,1,openai,repeat_02,1840908020,93c4ee270eb58506baafb5012dffc34fb26941bd5d02d4756e88c52fe386dfa1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/openai_flowpilot/repeat_02
N2-30B83F8C,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.884616,0.865385,0.107072,0.932692,0,0,openai,repeat_03,1248146066,9f89872f66c7d6cd29544aad47681b5c603b70bba1e834153b5ea4fdfa881fc4,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/openai_flowpilot/repeat_03
N2-658335A0,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.801282,0.865385,0.181762,0.769231,2,3,claude,repeat_01,889283753,b8f35ef4537b690ed4f02dcd1dc005726b5d33b29e21657965f25a40bfdad14b,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/claude_one_shot/repeat_01
N2-F0DB8ACE,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.75,0.865385,0.233953,0.692308,0,0,claude,repeat_02,837526878,1a51f3b410a67b7db25c47e0866c119364e86ddd3c3f91be61a06710f3140d45,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/claude_one_shot/repeat_02
N2-26BC9712,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.775641,0.923077,0.324273,0.701923,1,5,claude,repeat_03,404573235,c2eca7d09d2d2ed228a53561631dd5a48d8ec5ec19ae598bfb22e2da6f9f7f17,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/claude_one_shot/repeat_03
N2-2B952DAB,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.852564,0.846154,0.144338,0.855769,0,0,claude,repeat_01,1292007882,5d9ef8647f21b5fb84d87740233cd55f2be9042d6bdef4792543184721695ec8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/claude_flowpilot/repeat_01
N2-4C0AEB05,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.897436,0.884615,0.096793,0.903846,0,0,claude,repeat_02,229005668,fa607cb6e5f254aeaf91410098c1cb68248f6358a22979387549dbd03118ce35,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/claude_flowpilot/repeat_02
N2-C387E134,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.820513,0.730769,0.155441,0.865385,0,0,claude,repeat_03,7370635,dc9fc8d3344543c8af373e32c41cc62660a6757fb276581bc7487064ac516d15,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/hydrogenolysis/claude_flowpilot/repeat_03
N2-8741705A,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.737179,0.730769,0.182777,0.64423,1,3,qwen,repeat_01,1966533946,b4976a40c42092433d43100eec064ef0bf37238e367656e5ff0ed00d32884871,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/qwen_one_shot/repeat_01
N2-DA0B2E6F,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.794872,0.788462,0.201999,0.692308,1,2,qwen,repeat_02,86749707,96f51e9edeff535d433469ceb5fdd596c408f810ac3f8f99b41fbb1823e435df,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/qwen_one_shot/repeat_02
N2-47C95BD8,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.858974,0.826923,0.128045,0.788461,0,0,qwen,repeat_03,1888427250,e06ee9a93c43d001f32307576444ca6a36d6defdee0ca213f20cd6e7da6c4cc0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/qwen_one_shot/repeat_03
N2-2FF6EA33,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.948718,0.961538,0.058751,0.923077,0,0,qwen,repeat_01,102767507,ea2ffac92f8595e8d7fac69c472d5472559f5d7418c3c1242a03b618f621c79f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/qwen_flowpilot/repeat_01
N2-6FA01A6D,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.903846,0.923077,0.05088,0.884615,0,0,qwen,repeat_02,885646846,f8cea90e40fbb1715a4746f61d5c40dc31e95ee9ee59bd8d73d8f52a275af551,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/qwen_flowpilot/repeat_02
N2-59992313,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.935898,0.942308,0.067536,0.903846,0,0,qwen,repeat_03,367145352,dff7f5f8ae031dd7e8a8123879ab8664523521ff33a6e8fe4fd29f63d708da57,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/qwen_flowpilot/repeat_03
N2-EA1F3CBC,GPT-5.4,openai,One-shot,Photochemical oxidation,0.897436,0.923077,0.098684,0.951923,0,0,openai,repeat_01,1551791208,00330fba9ee72ca5ac140100d18db3ed469f9748041b4a6120c9d8b07e981e86,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/openai_one_shot/repeat_01
N2-6EC3874C,GPT-5.4,openai,One-shot,Photochemical oxidation,0.903846,0.942308,0.120096,0.971154,0,0,openai,repeat_02,161523717,9415ababe576564e33908b0b3c0979fc123b80e4ad735c1cf1a07ec654af3828,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/openai_one_shot/repeat_02
N2-0E011400,GPT-5.4,openai,One-shot,Photochemical oxidation,0.948718,0.942308,0.048396,0.971154,0,0,openai,repeat_03,660804568,bcaf5db1b38de715e992e85bfa3cbf851e1aa0a489bfc7db0fbe22524179feba,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/openai_one_shot/repeat_03
N2-4061E17E,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.967949,0.980769,0.040032,0.990385,0,0,openai,repeat_01,837557799,db6c6e287388659b5fbf8c9c4dcd33181829772504eba77fcdf63b21df3e9550,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/openai_flowpilot/repeat_01
N2-3413FE33,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.967949,0.961538,0.029375,0.980769,0,0,openai,repeat_02,1035834224,efa0a3ad7ff283b1bf06286b6218ab0f6664d06e55aca5bbb4128a635cfa3b30,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/openai_flowpilot/repeat_02
N2-33C43F95,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.967949,0.980769,0.040032,0.990385,0,0,openai,repeat_03,392202796,24d1af60245b227e2e7f47cca3431ad62846c7d154396b919c8c9fee125dc34c,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/openai_flowpilot/repeat_03
N2-9718DA6F,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.955128,0.961538,0.048396,0.951923,0,0,claude,repeat_01,1067373958,8c6a869b0582dcd0c16d97f38abc4caa8fa7ecf4d192ca933b016b7f4b50d5fc,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/claude_one_shot/repeat_01
N2-137B4382,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.929487,0.961538,0.090881,0.913461,0,0,claude,repeat_02,961520441,45d95847f024265497fe28cfc55fcf6bd0765b36fed31dbbad6da7446617213b,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/claude_one_shot/repeat_02
N2-2013A06A,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.916667,0.942308,0.098685,0.903846,0,0,claude,repeat_03,689476623,46ab970ad82b5e2cbe5a7d79c68eb05cf31f6d567d554469c9f9c868355e214c,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/claude_one_shot/repeat_03
N2-730C7F4A,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.942308,0.961538,0.069337,0.932692,0,0,claude,repeat_01,1962721600,8c2e39454044baa4a05e72c295d95c32ede041de8eb62f0e95cd876a9df3c4b5,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/claude_flowpilot/repeat_01
N2-DA5B929E,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.50641,0.519231,0.154246,0.432693,2,12,claude,repeat_02,27124511,d7d030e2efb17d9adff60926b48cfd49d1f70e8ec53c718693884b53f5b0c3c0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/claude_flowpilot/repeat_02
