model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Claude Sonnet 4.6,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Claude Sonnet 4.6,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Claude Sonnet 4.6,FlowPilot,CuAAC,flow_rate_mL_min,3,0.27142667,0.28455285,104.836,0.10714,0.6
Claude Sonnet 4.6,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Claude Sonnet 4.6,FlowPilot,CuAAC,residence_time_min,3,2.03338333,1.32794892,65.3074,0.5,2.800075
Claude Sonnet 4.6,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.10866667,0.01496783,13.7741,0.1,0.12595
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,residence_time_min,3,27.934661,3.56429565,12.7594,23.818976,30.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.33052667,0.28047825,84.858,0.0617,0.62136
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,residence_time_min,3,7.01936967,7.99884148,113.9538,1.609373,16.207455
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
Claude Sonnet 4.6,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Claude Sonnet 4.6,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Claude Sonnet 4.6,One-shot,CuAAC,flow_rate_mL_min,3,0.11666667,0.02886751,24.7436,0.1,0.15
Claude Sonnet 4.6,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Claude Sonnet 4.6,One-shot,CuAAC,residence_time_min,3,2.66666667,0.57735027,21.6506,2.0,3.0
Claude Sonnet 4.6,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Claude Sonnet 4.6,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Sonnet 4.6,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
