model,case,repeat_id,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
Claude Sonnet 4.6,Hydrogenolysis,repeat_01,0.801282,0.852564,0.051282,0.769231,0.855769,0.086538
Claude Sonnet 4.6,Hydrogenolysis,repeat_02,0.75,0.897436,0.147436,0.692308,0.903846,0.211538
Claude Sonnet 4.6,Hydrogenolysis,repeat_03,0.775641,0.820513,0.044872,0.701923,0.865385,0.163462
Claude Sonnet 4.6,Photochemical oxidation,repeat_01,0.955128,0.942308,-0.01282,0.951923,0.932692,-0.019231
Claude Sonnet 4.6,Photochemical oxidation,repeat_02,0.929487,0.50641,-0.423077,0.913461,0.432693,-0.480768
Claude Sonnet 4.6,Photochemical oxidation,repeat_03,0.916667,0.948718,0.032051,0.903846,0.942308,0.038462
Claude Sonnet 4.6,CuAAC,repeat_01,0.944445,0.819444,-0.125001,0.927083,0.854167,-0.072916
Claude Sonnet 4.6,CuAAC,repeat_02,0.958333,0.833333,-0.125,0.947917,0.78125,-0.166667
Claude Sonnet 4.6,CuAAC,repeat_03,0.958333,0.965278,0.006945,0.947917,0.96875,0.020833
GPT-5.4,Hydrogenolysis,repeat_01,0.891026,0.878205,-0.012821,0.951923,0.932692,-0.019231
GPT-5.4,Hydrogenolysis,repeat_02,0.871795,0.852564,-0.019231,0.913462,0.942308,0.028846
GPT-5.4,Hydrogenolysis,repeat_03,0.871795,0.884616,0.012821,0.913462,0.932692,0.01923
GPT-5.4,Photochemical oxidation,repeat_01,0.897436,0.967949,0.070513,0.951923,0.990385,0.038462
GPT-5.4,Photochemical oxidation,repeat_02,0.903846,0.967949,0.064103,0.971154,0.980769,0.009615
GPT-5.4,Photochemical oxidation,repeat_03,0.948718,0.967949,0.019231,0.971154,0.990385,0.019231
GPT-5.4,CuAAC,repeat_01,0.875,0.958333,0.083333,0.895833,0.96875,0.072917
GPT-5.4,CuAAC,repeat_02,0.9375,0.9375,0.0,0.96875,0.958333,-0.010417
GPT-5.4,CuAAC,repeat_03,0.951389,0.958333,0.006944,0.979167,0.979167,0.0
Qwen3.6-27B,Hydrogenolysis,repeat_01,0.705128,0.858974,0.153846,0.557693,0.788462,0.230769
Qwen3.6-27B,Hydrogenolysis,repeat_02,0.538461,0.878205,0.339744,0.442308,0.817308,0.375
Qwen3.6-27B,Hydrogenolysis,repeat_03,0.679487,0.852564,0.173077,0.538462,0.778846,0.240384
Qwen3.6-27B,Photochemical oxidation,repeat_01,0.737179,0.948718,0.211539,0.64423,0.923077,0.278847
Qwen3.6-27B,Photochemical oxidation,repeat_02,0.794872,0.903846,0.108974,0.692308,0.884615,0.192307
Qwen3.6-27B,Photochemical oxidation,repeat_03,0.858974,0.935898,0.076924,0.788461,0.903846,0.115385
Qwen3.6-27B,CuAAC,repeat_01,0.840278,0.944444,0.104166,0.760417,0.916667,0.15625
Qwen3.6-27B,CuAAC,repeat_02,0.861111,0.944444,0.083333,0.791667,0.916667,0.125
Qwen3.6-27B,CuAAC,repeat_03,0.847222,0.8125,-0.034722,0.770833,0.71875,-0.052083
