model,architecture,case,n_repeats,mean_score_0_1,repeat_sd,score_range,exact_result_hash_count,exact_result_reproducible
Claude Sonnet 4.6,One-shot,Hydrogenolysis,3,0.775641,0.025641,0.051282,3,False
Claude Sonnet 4.6,One-shot,Photochemical oxidation,3,0.933761,0.019583,0.038461,3,False
Claude Sonnet 4.6,One-shot,CuAAC,3,0.953704,0.008018,0.013888,3,False
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,3,0.856838,0.038639,0.076923,3,False
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,3,0.799145,0.253536,0.442308,3,False
Claude Sonnet 4.6,FlowPilot,CuAAC,3,0.872685,0.080488,0.145834,3,False
GPT-5.4,One-shot,Hydrogenolysis,3,0.878205,0.011103,0.019231,3,False
GPT-5.4,One-shot,Photochemical oxidation,3,0.916667,0.027942,0.051282,3,False
GPT-5.4,One-shot,CuAAC,3,0.921296,0.040691,0.076389,3,False
GPT-5.4,FlowPilot,Hydrogenolysis,3,0.871795,0.01696,0.032052,3,False
GPT-5.4,FlowPilot,Photochemical oxidation,3,0.967949,0.0,0.0,3,False
GPT-5.4,FlowPilot,CuAAC,3,0.951389,0.012028,0.020833,3,False
Qwen3.6-27B,One-shot,Hydrogenolysis,3,0.641025,0.089744,0.166667,3,False
Qwen3.6-27B,One-shot,Photochemical oxidation,3,0.797008,0.060926,0.121795,3,False
Qwen3.6-27B,One-shot,CuAAC,3,0.849537,0.010608,0.020833,3,False
Qwen3.6-27B,FlowPilot,Hydrogenolysis,3,0.863248,0.013344,0.025641,3,False
Qwen3.6-27B,FlowPilot,Photochemical oxidation,3,0.929487,0.023113,0.044872,3,False
Qwen3.6-27B,FlowPilot,CuAAC,3,0.900463,0.076178,0.131944,3,False
