candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-A64BBF1E,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.717949,0.711538,0.278901,0.576923,1,4
N2-2FC5E8BD,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.564103,0.615385,0.197369,0.480769,2,12
N2-4161B724,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.660256,0.653846,0.298128,0.509615,1,5
N2-CBD2FE26,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.871795,0.903846,0.146878,0.807692,0,0
N2-B9429910,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.891026,0.903846,0.115917,0.836539,0,0
N2-97F0F815,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.852564,0.884615,0.165801,0.778846,0,0
N2-09AF5CB0,GPT-5.4,openai,One-shot,Hydrogenolysis,0.858974,0.884615,0.098685,0.913462,1,1
N2-259B1D8D,GPT-5.4,openai,One-shot,Hydrogenolysis,0.846154,0.865385,0.164308,0.932692,0,0
N2-12141CAC,GPT-5.4,openai,One-shot,Hydrogenolysis,0.884615,0.884615,0.115385,0.942308,0,0
N2-9A713DEA,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.858974,0.865385,0.144338,0.932692,0,0
N2-3FCDFE52,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.884616,0.865385,0.107072,0.932692,0,0
N2-30B83F8C,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.839743,0.884615,0.18678,0.942308,1,1
N2-658335A0,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.820513,0.942308,0.262508,0.759615,1,1
N2-F0DB8ACE,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.846154,0.942308,0.21842,0.798077,1,1
N2-26BC9712,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.826923,0.865385,0.157411,0.807692,1,2
N2-2B952DAB,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.833333,0.788462,0.149374,0.855769,0,0
N2-4C0AEB05,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.955128,0.942308,0.040032,0.961539,0,0
N2-C387E134,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.826923,0.75,0.150197,0.865385,0,0
N2-8741705A,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.75,0.788462,0.195171,0.663462,1,3
N2-DA0B2E6F,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.820513,0.846154,0.193585,0.730769,0,0
N2-47C95BD8,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.833333,0.826923,0.163556,0.75,0,0
N2-2FF6EA33,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.910257,0.942308,0.109351,0.865385,0,0
N2-6FA01A6D,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.942308,0.923077,0.05088,0.913462,0,0
N2-59992313,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.923077,0.923077,0.076923,0.884615,0,0
N2-EA1F3CBC,GPT-5.4,openai,One-shot,Photochemical oxidation,0.955128,0.942308,0.040032,0.971154,0,0
N2-6EC3874C,GPT-5.4,openai,One-shot,Photochemical oxidation,0.961539,0.942308,0.033308,0.971154,0,0
N2-0E011400,GPT-5.4,openai,One-shot,Photochemical oxidation,0.929487,0.942308,0.07772,0.971154,0,0
N2-4061E17E,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.955128,0.980769,0.061818,0.990385,0,0
N2-3413FE33,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.967949,0.980769,0.040032,0.990385,0,0
N2-33C43F95,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.942308,0.961538,0.069337,0.980769,0,0
N2-9718DA6F,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.935897,0.980769,0.094863,0.913461,1,1
N2-137B4382,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.878205,0.942308,0.163556,0.846154,0,0
N2-2013A06A,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.897436,0.942308,0.130901,0.875,0,0
N2-730C7F4A,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.942308,0.942308,0.057693,0.942308,0,0
N2-DA5B929E,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.961538,0.058751,0.942308,0,0
N2-3321D4CB,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.942308,0.048396,0.951923,0,0
N2-214B9E89,Qwen3.6-27B,qwen,One-shot,CuAAC,0.840278,0.833333,0.156366,0.760417,0,0
N2-751D144A,Qwen3.6-27B,qwen,One-shot,CuAAC,0.861111,0.916667,0.173472,0.791667,0,0
N2-C0A5BA1A,Qwen3.6-27B,qwen,One-shot,CuAAC,0.833333,0.854167,0.178,0.75,0,0
