candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-A64BBF1E,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.717949,0.711538,0.278901,0.576923,1,4,qwen,repeat_01,1380837172,88239a9a7688e7eb079606332cb097119463c54c27ce245945048973a7e487eb,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_one_shot/repeat_01
N2-2FC5E8BD,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.564103,0.615385,0.197369,0.480769,2,12,qwen,repeat_02,921552787,b5d709fa416ab8632d1a0f0ea8407192d2616f57b3f9540e141240670be4e9a7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_one_shot/repeat_02
N2-4161B724,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.660256,0.653846,0.298128,0.509615,1,5,qwen,repeat_03,1139754451,d230f16f891eee98080e20c7193062bf221fafc58292031206953802fbf62242,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_one_shot/repeat_03
N2-CBD2FE26,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.871795,0.903846,0.146878,0.807692,0,0,qwen,repeat_01,239244106,55e96ad6d993c1ec4fbc1066186e956b692e57f4cf187801a02edeef2fefeabd,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_flowpilot/repeat_01
N2-B9429910,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.891026,0.903846,0.115917,0.836539,0,0,qwen,repeat_02,1896330405,6a7f804a6cc0759fbc03520e2034cdb114abf72295ba7a03cd137542fefd62f2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_flowpilot/repeat_02
N2-97F0F815,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.852564,0.884615,0.165801,0.778846,0,0,qwen,repeat_03,725813093,61f59d7fe4df08bb19e826bea1d8acba9c02a420cfe9d8646946e72956388bae,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_flowpilot/repeat_03
N2-09AF5CB0,GPT-5.4,openai,One-shot,Hydrogenolysis,0.858974,0.884615,0.098685,0.913462,1,1,openai,repeat_01,670273824,5049ae37bf333fb35719e49888ae7a70bdd300f9477822757b42bb24158f8ce9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/openai_one_shot/repeat_01
N2-259B1D8D,GPT-5.4,openai,One-shot,Hydrogenolysis,0.846154,0.865385,0.164308,0.932692,0,0,openai,repeat_02,1105597970,9ebf7a4f6c7767f4997e2c3329da35bc6361fcdbd1bb67a6ebe9ff9f5822aa88,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/openai_one_shot/repeat_02
N2-12141CAC,GPT-5.4,openai,One-shot,Hydrogenolysis,0.884615,0.884615,0.115385,0.942308,0,0,openai,repeat_03,1773314719,93a89fc4655464fcf81cdff00ea5c9f34cd0cb81734bed895d0937c6fd3bcad1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/openai_one_shot/repeat_03
N2-9A713DEA,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.858974,0.865385,0.144338,0.932692,0,0,openai,repeat_01,628978606,57f288e17d4aadd858ec31ddc69fcf13ebb74c9f4df91fc176dfcbc9ddafea84,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/openai_flowpilot/repeat_01
