model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
Claude Sonnet 4.6,UO-01,0.972222,1.0,0.027778
Claude Sonnet 4.6,UO-02,0.962963,0.962963,0.0
Claude Sonnet 4.6,UO-03,0.814815,0.861111,0.046296
Claude Sonnet 4.6,UO-04,0.888889,0.898148,0.009259
Claude Sonnet 4.6,UO-05,0.898148,0.981481,0.083333
Claude Sonnet 4.6,UO-06,0.935185,0.953704,0.018519
Claude Sonnet 4.6,UO-07,0.87037,0.935185,0.064815
Claude Sonnet 4.6,UO-08,0.791667,0.875,0.083333
Claude Sonnet 4.6,UO-10,0.907407,0.962963,0.055556
Claude Sonnet 4.6,UO-11,0.805556,0.814815,0.009259
Claude Sonnet 4.6,UO-12,0.888889,0.916667,0.027778
Claude Sonnet 4.6,UO-13,0.861111,0.87037,0.009259
Claude Sonnet 4.6,UO-14,0.925926,0.953704,0.027778
GPT-5.4,UO-01,1.0,0.944444,-0.055556
GPT-5.4,UO-02,0.972222,0.888889,-0.083333
GPT-5.4,UO-03,0.861111,0.842593,-0.018519
GPT-5.4,UO-04,0.898148,0.898148,0.0
GPT-5.4,UO-05,0.990741,0.925926,-0.064815
GPT-5.4,UO-06,0.944444,0.953704,0.009259
GPT-5.4,UO-07,0.898148,0.898148,0.0
GPT-5.4,UO-08,0.763889,0.916667,0.152778
GPT-5.4,UO-10,0.962963,0.944444,-0.018519
GPT-5.4,UO-11,0.824074,0.768519,-0.055556
GPT-5.4,UO-12,0.981481,0.916667,-0.064815
GPT-5.4,UO-13,0.888889,0.851852,-0.037037
GPT-5.4,UO-14,0.953704,0.907407,-0.046296
Qwen3.6-27B,UO-01,0.962963,0.953704,-0.009259
Qwen3.6-27B,UO-02,0.805556,0.944444,0.138889
Qwen3.6-27B,UO-03,0.675926,0.796296,0.12037
Qwen3.6-27B,UO-04,0.787037,0.888889,0.101852
Qwen3.6-27B,UO-05,0.75,0.944444,0.194444
Qwen3.6-27B,UO-06,0.731481,0.944444,0.212963
Qwen3.6-27B,UO-07,0.851852,0.925926,0.074074
Qwen3.6-27B,UO-08,0.513889,0.833333,0.319444
Qwen3.6-27B,UO-10,0.796296,0.953704,0.157407
Qwen3.6-27B,UO-11,0.768519,0.777778,0.009259
Qwen3.6-27B,UO-12,0.731481,0.925926,0.194444
Qwen3.6-27B,UO-13,0.657407,0.87963,0.222222
Qwen3.6-27B,UO-14,0.796296,0.953704,0.157407
