candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-A64BBF1E,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-2FC5E8BD,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.730769,13,3,EXECUTABLE
N2-4161B724,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.961538,13,0,EXECUTABLE
N2-CBD2FE26,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-B9429910,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-97F0F815,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-09AF5CB0,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,0.942308,13,1,EXECUTABLE
N2-259B1D8D,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-12141CAC,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-9A713DEA,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-3FCDFE52,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-30B83F8C,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-658335A0,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-F0DB8ACE,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-26BC9712,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.961538,13,0,EXECUTABLE
N2-2B952DAB,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-4C0AEB05,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-C387E134,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-8741705A,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.923077,13,0,SCREEN_ONLY
N2-DA0B2E6F,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-47C95BD8,qwen,qwen,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-2FF6EA33,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-6FA01A6D,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-59992313,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-EA1F3CBC,qwen,qwen,GPT-5.4,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-6EC3874C,qwen,qwen,GPT-5.4,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-0E011400,qwen,qwen,GPT-5.4,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-4061E17E,qwen,qwen,GPT-5.4,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-3413FE33,qwen,qwen,GPT-5.4,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-33C43F95,qwen,qwen,GPT-5.4,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-9718DA6F,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-137B4382,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-2013A06A,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-730C7F4A,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-DA5B929E,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-3321D4CB,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-214B9E89,qwen,qwen,Qwen3.6-27B,qwen,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-751D144A,qwen,qwen,Qwen3.6-27B,qwen,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-C0A5BA1A,qwen,qwen,Qwen3.6-27B,qwen,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-DE9454B0,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-414B6752,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-110E4388,qwen,qwen,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-45C1A6CF,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-D85E475A,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-56C8A1EB,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-DE57F440,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-F56C1786,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-A8923ABE,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-91B57A73,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-08E9094C,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-88250C75,qwen,qwen,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-9141CE83,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-B2E7E0D0,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-3DF31914,qwen,qwen,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-A64BBF1E,openai,openai,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.442308,13,4,SCREEN_ONLY
N2-2FC5E8BD,openai,openai,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.346154,13,9,BLOCKED
N2-4161B724,openai,openai,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.365385,13,5,BLOCKED
N2-CBD2FE26,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.711538,13,0,SCREEN_ONLY
N2-B9429910,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.769231,13,0,SCREEN_ONLY
N2-97F0F815,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.673077,13,0,SCREEN_ONLY
N2-09AF5CB0,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.75,13,0,SCREEN_ONLY
N2-259B1D8D,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.673077,13,0,SCREEN_ONLY
N2-12141CAC,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.769231,13,0,SCREEN_ONLY
N2-9A713DEA,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.711538,13,0,SCREEN_ONLY
N2-3FCDFE52,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.788462,13,0,SCREEN_ONLY
N2-30B83F8C,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.634615,13,1,SCREEN_ONLY
N2-658335A0,openai,openai,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.519231,13,1,SCREEN_ONLY
N2-F0DB8ACE,openai,openai,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.596154,13,1,SCREEN_ONLY
N2-26BC9712,openai,openai,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.653846,13,2,BLOCKED
N2-2B952DAB,openai,openai,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.711538,13,0,SCREEN_ONLY
N2-4C0AEB05,openai,openai,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.923077,13,0,SCREEN_ONLY
N2-C387E134,openai,openai,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.730769,13,0,SCREEN_ONLY
N2-8741705A,openai,openai,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.538462,13,3,SCREEN_ONLY
N2-DA0B2E6F,openai,openai,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.615385,13,0,SCREEN_ONLY
N2-47C95BD8,openai,openai,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.673077,13,0,SCREEN_ONLY
N2-2FF6EA33,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.788462,13,0,SCREEN_ONLY
N2-6FA01A6D,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.903846,13,0,EXECUTABLE
N2-59992313,openai,openai,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.846154,13,0,SCREEN_ONLY
N2-EA1F3CBC,openai,openai,GPT-5.4,openai,One-shot,Photochemical oxidation,0.923077,13,0,SCREEN_ONLY
N2-6EC3874C,openai,openai,GPT-5.4,openai,One-shot,Photochemical oxidation,0.942308,13,0,SCREEN_ONLY
N2-0E011400,openai,openai,GPT-5.4,openai,One-shot,Photochemical oxidation,0.846154,13,0,SCREEN_ONLY
N2-4061E17E,openai,openai,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.884615,13,0,EXECUTABLE
N2-3413FE33,openai,openai,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.923077,13,0,EXECUTABLE
N2-33C43F95,openai,openai,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.865385,13,0,SCREEN_ONLY
N2-9718DA6F,openai,openai,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.826923,13,1,SCREEN_ONLY
N2-137B4382,openai,openai,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.692308,13,0,SCREEN_ONLY
N2-2013A06A,openai,openai,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.75,13,0,SCREEN_ONLY
N2-730C7F4A,openai,openai,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.884615,13,0,SCREEN_ONLY
N2-DA5B929E,openai,openai,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.884615,13,0,EXECUTABLE
N2-3321D4CB,openai,openai,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.903846,13,0,EXECUTABLE
N2-214B9E89,openai,openai,Qwen3.6-27B,qwen,One-shot,CuAAC,0.6875,12,0,SCREEN_ONLY
N2-751D144A,openai,openai,Qwen3.6-27B,qwen,One-shot,CuAAC,0.666667,12,0,SCREEN_ONLY
N2-C0A5BA1A,openai,openai,Qwen3.6-27B,qwen,One-shot,CuAAC,0.645833,12,0,SCREEN_ONLY
