model,case,repeat_id,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
Claude Sonnet 4.6,Hydrogenolysis,repeat_01,0.820513,0.833333,0.01282,0.759615,0.855769,0.096154
Claude Sonnet 4.6,Hydrogenolysis,repeat_02,0.846154,0.955128,0.108974,0.798077,0.961539,0.163462
Claude Sonnet 4.6,Hydrogenolysis,repeat_03,0.826923,0.826923,0.0,0.807692,0.865385,0.057693
Claude Sonnet 4.6,Photochemical oxidation,repeat_01,0.935897,0.942308,0.006411,0.913461,0.942308,0.028847
Claude Sonnet 4.6,Photochemical oxidation,repeat_02,0.878205,0.948718,0.070513,0.846154,0.942308,0.096154
Claude Sonnet 4.6,Photochemical oxidation,repeat_03,0.897436,0.948718,0.051282,0.875,0.951923,0.076923
Claude Sonnet 4.6,CuAAC,repeat_01,0.958333,0.951389,-0.006944,0.947917,0.958333,0.010416
Claude Sonnet 4.6,CuAAC,repeat_02,0.909722,0.951389,0.041667,0.895833,0.958333,0.0625
Claude Sonnet 4.6,CuAAC,repeat_03,0.9375,0.958333,0.020833,0.927083,0.958333,0.03125
GPT-5.4,Hydrogenolysis,repeat_01,0.858974,0.858974,0.0,0.913462,0.932692,0.01923
GPT-5.4,Hydrogenolysis,repeat_02,0.846154,0.884616,0.038462,0.932692,0.932692,0.0
GPT-5.4,Hydrogenolysis,repeat_03,0.884615,0.839743,-0.044872,0.942308,0.942308,0.0
GPT-5.4,Photochemical oxidation,repeat_01,0.955128,0.955128,0.0,0.971154,0.990385,0.019231
GPT-5.4,Photochemical oxidation,repeat_02,0.961539,0.967949,0.00641,0.971154,0.990385,0.019231
GPT-5.4,Photochemical oxidation,repeat_03,0.929487,0.942308,0.012821,0.971154,0.980769,0.009615
GPT-5.4,CuAAC,repeat_01,0.965278,0.805556,-0.159722,0.989583,0.927083,-0.0625
GPT-5.4,CuAAC,repeat_02,0.958333,0.951389,-0.006944,0.979167,0.958333,-0.020834
GPT-5.4,CuAAC,repeat_03,0.951389,0.854167,-0.097222,0.958333,0.958333,0.0
Qwen3.6-27B,Hydrogenolysis,repeat_01,0.717949,0.871795,0.153846,0.576923,0.807692,0.230769
Qwen3.6-27B,Hydrogenolysis,repeat_02,0.564103,0.891026,0.326923,0.480769,0.836539,0.35577
Qwen3.6-27B,Hydrogenolysis,repeat_03,0.660256,0.852564,0.192308,0.509615,0.778846,0.269231
Qwen3.6-27B,Photochemical oxidation,repeat_01,0.75,0.910257,0.160257,0.663462,0.865385,0.201923
Qwen3.6-27B,Photochemical oxidation,repeat_02,0.820513,0.942308,0.121795,0.730769,0.913462,0.182693
Qwen3.6-27B,Photochemical oxidation,repeat_03,0.833333,0.923077,0.089744,0.75,0.884615,0.134615
Qwen3.6-27B,CuAAC,repeat_01,0.840278,0.951389,0.111111,0.760417,0.927083,0.166666
Qwen3.6-27B,CuAAC,repeat_02,0.861111,0.951389,0.090278,0.791667,0.927083,0.135416
Qwen3.6-27B,CuAAC,repeat_03,0.833333,0.840278,0.006945,0.75,0.760417,0.010417
