model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Claude Sonnet 4.6,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Claude Sonnet 4.6,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Claude Sonnet 4.6,FlowPilot,CuAAC,flow_rate_mL_min,3,0.10714,0.0,0.0,0.10714,0.10714
Claude Sonnet 4.6,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Claude Sonnet 4.6,FlowPilot,CuAAC,residence_time_min,3,2.800075,0.0,0.0,2.800075,2.800075
Claude Sonnet 4.6,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.22541333,0.21722227,96.3662,0.1,0.47624
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,residence_time_min,3,22.09978167,13.68357954,61.9173,6.299345,30.0
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.09255333,0.05343954,57.7392,0.0617,0.15426
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,residence_time_min,3,12.965824,5.61466959,43.3036,6.482562,16.207455
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
Claude Sonnet 4.6,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Claude Sonnet 4.6,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Claude Sonnet 4.6,One-shot,CuAAC,flow_rate_mL_min,3,0.2,0.1,50.0,0.1,0.3
Claude Sonnet 4.6,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Claude Sonnet 4.6,One-shot,CuAAC,residence_time_min,3,1.83333333,1.040833,56.7727,1.0,3.0
Claude Sonnet 4.6,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Claude Sonnet 4.6,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Sonnet 4.6,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
