model,architecture,case,n_repeats,mean_score_0_1,repeat_sd,score_range,exact_result_hash_count,exact_result_reproducible
Claude Sonnet 4.6,One-shot,Hydrogenolysis,3,0.831197,0.013344,0.025641,3,False
Claude Sonnet 4.6,One-shot,Photochemical oxidation,3,0.903846,0.029375,0.057692,3,False
Claude Sonnet 4.6,One-shot,CuAAC,3,0.935185,0.024388,0.048611,3,False
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,3,0.871795,0.07224,0.128205,3,False
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,3,0.946581,0.003701,0.00641,3,False
Claude Sonnet 4.6,FlowPilot,CuAAC,3,0.953704,0.004009,0.006944,3,False
GPT-5.4,One-shot,Hydrogenolysis,3,0.863248,0.019583,0.038461,3,False
GPT-5.4,One-shot,Photochemical oxidation,3,0.948718,0.01696,0.032052,3,False
GPT-5.4,One-shot,CuAAC,3,0.958333,0.006945,0.013889,3,False
GPT-5.4,FlowPilot,Hydrogenolysis,3,0.861111,0.022513,0.044873,3,False
GPT-5.4,FlowPilot,Photochemical oxidation,3,0.955128,0.012821,0.025641,3,False
GPT-5.4,FlowPilot,CuAAC,3,0.870371,0.074255,0.145833,3,False
Qwen3.6-27B,One-shot,Hydrogenolysis,3,0.647436,0.07772,0.153846,3,False
Qwen3.6-27B,One-shot,Photochemical oxidation,3,0.801282,0.044872,0.083333,3,False
Qwen3.6-27B,One-shot,CuAAC,3,0.844907,0.014456,0.027778,3,False
Qwen3.6-27B,FlowPilot,Hydrogenolysis,3,0.871795,0.019231,0.038462,3,False
Qwen3.6-27B,FlowPilot,Photochemical oxidation,3,0.925214,0.016132,0.032051,3,False
Qwen3.6-27B,FlowPilot,CuAAC,3,0.914352,0.06415,0.111111,3,False
