candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-A64BBF1E,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.717949,0.711538,0.278901,0.576923,1,4,qwen,repeat_01,1380837172,88239a9a7688e7eb079606332cb097119463c54c27ce245945048973a7e487eb,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_one_shot/repeat_01
N2-2FC5E8BD,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.564103,0.615385,0.197369,0.480769,2,12,qwen,repeat_02,921552787,b5d709fa416ab8632d1a0f0ea8407192d2616f57b3f9540e141240670be4e9a7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_one_shot/repeat_02
N2-4161B724,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,0.660256,0.653846,0.298128,0.509615,1,5,qwen,repeat_03,1139754451,d230f16f891eee98080e20c7193062bf221fafc58292031206953802fbf62242,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_one_shot/repeat_03
N2-CBD2FE26,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.871795,0.903846,0.146878,0.807692,0,0,qwen,repeat_01,239244106,55e96ad6d993c1ec4fbc1066186e956b692e57f4cf187801a02edeef2fefeabd,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_flowpilot/repeat_01
N2-B9429910,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.891026,0.903846,0.115917,0.836539,0,0,qwen,repeat_02,1896330405,6a7f804a6cc0759fbc03520e2034cdb114abf72295ba7a03cd137542fefd62f2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_flowpilot/repeat_02
N2-97F0F815,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,0.852564,0.884615,0.165801,0.778846,0,0,qwen,repeat_03,725813093,61f59d7fe4df08bb19e826bea1d8acba9c02a420cfe9d8646946e72956388bae,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/qwen_flowpilot/repeat_03
N2-8741705A,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.75,0.788462,0.195171,0.663462,1,3,qwen,repeat_01,1966533946,b4976a40c42092433d43100eec064ef0bf37238e367656e5ff0ed00d32884871,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_one_shot/repeat_01
N2-DA0B2E6F,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.820513,0.846154,0.193585,0.730769,0,0,qwen,repeat_02,86749707,96f51e9edeff535d433469ceb5fdd596c408f810ac3f8f99b41fbb1823e435df,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_one_shot/repeat_02
N2-47C95BD8,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.833333,0.826923,0.163556,0.75,0,0,qwen,repeat_03,1888427250,e06ee9a93c43d001f32307576444ca6a36d6defdee0ca213f20cd6e7da6c4cc0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_one_shot/repeat_03
N2-2FF6EA33,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.910257,0.942308,0.109351,0.865385,0,0,qwen,repeat_01,102767507,21ecf39c40d31885c5ccf9973189acd5e1e7165abf1f56043a744a7ebb9c8c93,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_flowpilot/repeat_01
