model,architecture,repeat_id,campaign_mean_score
Claude Opus 4.6,FlowPilot,repeat_01,0.9212963333333333
Claude Opus 4.6,FlowPilot,repeat_02,0.9328706666666666
Claude Opus 4.6,FlowPilot,repeat_03,0.941239
Claude Opus 4.6,One-shot,repeat_01,0.891916
Claude Opus 4.6,One-shot,repeat_02,0.8655626666666666
Claude Opus 4.6,One-shot,repeat_03,0.8908473333333333
Claude Opus 5,FlowPilot,repeat_01,0.6924856666666667
Claude Opus 5,FlowPilot,repeat_02,0.7580126666666667
Claude Opus 5,FlowPilot,repeat_03,0.864316
Claude Opus 5,One-shot,repeat_01,0.9134616666666666
Claude Opus 5,One-shot,repeat_02,0.9357196666666666
Claude Opus 5,One-shot,repeat_03,0.9585116666666668
Claude Sonnet 4.6,FlowPilot,repeat_01,0.90901
Claude Sonnet 4.6,FlowPilot,repeat_02,0.951745
Claude Sonnet 4.6,FlowPilot,repeat_03,0.9113246666666667
Claude Sonnet 4.6,One-shot,repeat_01,0.9049143333333333
Claude Sonnet 4.6,One-shot,repeat_02,0.878027
Claude Sonnet 4.6,One-shot,repeat_03,0.8872863333333333
GPT-4o,FlowPilot,repeat_01,0.9088316666666666
GPT-4o,FlowPilot,repeat_02,0.908832
GPT-4o,FlowPilot,repeat_03,0.9115026666666667
GPT-4o,One-shot,repeat_01,0.6748576666666667
GPT-4o,One-shot,repeat_02,0.6964033333333334
GPT-4o,One-shot,repeat_03,0.6798436666666667
GPT-5.4,FlowPilot,repeat_01,0.92094
GPT-5.4,FlowPilot,repeat_02,0.934651
GPT-5.4,FlowPilot,repeat_03,0.9214743333333333
GPT-5.4,One-shot,repeat_01,0.9022436666666667
GPT-5.4,One-shot,repeat_02,0.8917376666666667
GPT-5.4,One-shot,repeat_03,0.9328703333333334
Qwen3.6-27B,FlowPilot,repeat_01,0.911147
Qwen3.6-27B,FlowPilot,repeat_02,0.928241
Qwen3.6-27B,FlowPilot,repeat_03,0.871973
Qwen3.6-27B,One-shot,repeat_01,0.769409
Qwen3.6-27B,One-shot,repeat_02,0.7485756666666666
Qwen3.6-27B,One-shot,repeat_03,0.7756406666666665
Qwen3.8-27B,FlowPilot,repeat_01,0.9239673333333333
Qwen3.8-27B,FlowPilot,repeat_02,0.9024213333333333
Qwen3.8-27B,FlowPilot,repeat_03,0.9193376666666667
Qwen3.8-27B,One-shot,repeat_01,0.741987
Qwen3.8-27B,One-shot,repeat_02,0.7313036666666667
Qwen3.8-27B,One-shot,repeat_03,0.7688746666666667
