model,architecture,case,mean,sample_sd,n_repeats
Claude Opus 4.6,FlowPilot,CuAAC,0.9513886666666668,0.018373608963220354,3
Claude Opus 4.6,FlowPilot,Hydrogenolysis,0.8952993333333333,0.009791436734889018,3
Claude Opus 4.6,FlowPilot,Photochemical oxidation,0.948718,0.012820000000000041,3
Claude Opus 4.6,One-shot,CuAAC,0.9282406666666666,0.021215797942413912,3
Claude Opus 4.6,One-shot,Hydrogenolysis,0.7970083333333333,0.018504653477796677,3
Claude Opus 4.6,One-shot,Photochemical oxidation,0.923077,0.02937529218578086,3
Claude Opus 5,FlowPilot,CuAAC,0.6759256666666666,0.2686281458844797,3
Claude Opus 5,FlowPilot,Hydrogenolysis,0.6858973333333332,0.011103023026785683,3
Claude Opus 5,FlowPilot,Photochemical oxidation,0.9529913333333333,0.0037008152255055167,3
Claude Opus 5,One-shot,CuAAC,0.9722223333333333,0.01837360896322044,3
Claude Opus 5,One-shot,Hydrogenolysis,0.891026,0.025641000000000025,3
Claude Opus 5,One-shot,Photochemical oxidation,0.9444446666666666,0.042681610399952455,3
Claude Sonnet 4.6,FlowPilot,CuAAC,0.9537036666666667,0.004009120269252716,3
Claude Sonnet 4.6,FlowPilot,Hydrogenolysis,0.8717946666666666,0.07223991527080673,3
Claude Sonnet 4.6,FlowPilot,Photochemical oxidation,0.9465813333333334,0.0037008152255054044,3
Claude Sonnet 4.6,One-shot,CuAAC,0.935185,0.024388045206617092,3
Claude Sonnet 4.6,One-shot,Hydrogenolysis,0.8311966666666667,0.013344039505836782,3
Claude Sonnet 4.6,One-shot,Photochemical oxidation,0.903846,0.02937529218578091,3
GPT-4o,FlowPilot,CuAAC,0.9513886666666665,0.012028515508296658,3
GPT-4o,FlowPilot,Hydrogenolysis,0.8611110000000001,0.003701392575774651,3
GPT-4o,FlowPilot,Photochemical oxidation,0.9166666666666666,0.00641050000649978,3
GPT-4o,One-shot,CuAAC,0.69213,0.046238484274465606,3
GPT-4o,One-shot,Hydrogenolysis,0.6196583333333333,0.03756087906763279,3
GPT-4o,One-shot,Photochemical oxidation,0.7393163333333334,0.025906861279076907,3
GPT-5.4,FlowPilot,CuAAC,0.9351853333333334,0.017476343505817588,3
GPT-5.4,FlowPilot,Hydrogenolysis,0.8803416666666667,0.007401630451011033,3
GPT-5.4,FlowPilot,Photochemical oxidation,0.9615383333333334,0.006410500006499725,3
GPT-5.4,One-shot,CuAAC,0.949074,0.014456209600030029,3
GPT-5.4,One-shot,Hydrogenolysis,0.8376069999999999,0.03916727446478755,3
GPT-5.4,One-shot,Photochemical oxidation,0.9401706666666666,0.01958341901541544,3
Qwen3.6-27B,FlowPilot,CuAAC,0.914352,0.06414996575992857,3
Qwen3.6-27B,FlowPilot,Hydrogenolysis,0.871795,0.019230999999999998,3
Qwen3.6-27B,FlowPilot,Photochemical oxidation,0.925214,0.016132009391269294,3
Qwen3.6-27B,One-shot,CuAAC,0.8449073333333333,0.014456049471876214,3
Qwen3.6-27B,One-shot,Hydrogenolysis,0.647436,0.07772008896675295,3
Qwen3.6-27B,One-shot,Photochemical oxidation,0.801282,0.044871714286396504,3
Qwen3.8-27B,FlowPilot,CuAAC,0.9444443333333333,0.006944500006,3
Qwen3.8-27B,FlowPilot,Hydrogenolysis,0.8632476666666666,0.025906861279076907,3
Qwen3.8-27B,FlowPilot,Photochemical oxidation,0.9380343333333334,0.007402207801280239,3
Qwen3.8-27B,One-shot,CuAAC,0.8148146666666666,0.04185943064989458,3
Qwen3.8-27B,One-shot,Hydrogenolysis,0.6004276666666667,0.10421994193211459,3
Qwen3.8-27B,One-shot,Photochemical oxidation,0.826923,0.02937529218578086,3
