model,architecture,n_outcomes,schema_valid,executable,blocked,assessable_one_shot,missing
Qwen3.6-27B,One-shot,9,9,0,0,9,0
Qwen3.6-27B,FlowPilot,9,9,9,0,0,0
Qwen3.8-27B,One-shot,9,9,0,0,9,0
Qwen3.8-27B,FlowPilot,9,9,9,0,0,0
GPT-4o,One-shot,9,9,0,0,9,0
GPT-4o,FlowPilot,9,9,9,0,0,0
GPT-5.4,One-shot,9,7,0,0,9,0
GPT-5.4,FlowPilot,9,9,9,0,0,0
Claude Sonnet 4.6,One-shot,9,2,0,0,9,0
Claude Sonnet 4.6,FlowPilot,9,9,9,0,0,0
Claude Opus 4.6,One-shot,9,4,0,0,9,0
Claude Opus 4.6,FlowPilot,9,9,9,0,0,0
Claude Opus 5,One-shot,9,8,0,0,9,0
Claude Opus 5,FlowPilot,9,8,4,5,0,0
