model,repeat_id,campaign_mean_paired_delta
Claude Opus 4.6,repeat_01,0.02938033333333334
Claude Opus 4.6,repeat_02,0.06730799999999997
Claude Opus 4.6,repeat_03,0.05039166666666669
Claude Opus 5,repeat_01,-0.22097599999999998
Claude Opus 5,repeat_02,-0.17770700000000006
Claude Opus 5,repeat_03,-0.09419566666666668
Claude Sonnet 4.6,repeat_01,0.004095666666666682
Claude Sonnet 4.6,repeat_02,0.07371799999999999
Claude Sonnet 4.6,repeat_03,0.02403833333333331
GPT-4o,repeat_01,0.23397400000000002
GPT-4o,repeat_02,0.21242866666666663
GPT-4o,repeat_03,0.23165899999999998
GPT-5.4,repeat_01,0.018696333333333353
GPT-5.4,repeat_02,0.04291333333333336
GPT-5.4,repeat_03,-0.011395999999999998
Qwen3.6-27B,repeat_01,0.14173800000000003
Qwen3.6-27B,repeat_02,0.17966533333333334
Qwen3.6-27B,repeat_03,0.09633233333333335
Qwen3.8-27B,repeat_01,0.18198033333333338
Qwen3.8-27B,repeat_02,0.17111766666666664
Qwen3.8-27B,repeat_03,0.150463
