model,case,repeat_id,FlowPilot,One-shot,paired_delta
Claude Opus 4.6,CuAAC,repeat_01,0.930555,0.951389,-0.02083400000000002
Claude Opus 4.6,CuAAC,repeat_02,0.965278,0.923611,0.04166700000000001
Claude Opus 4.6,CuAAC,repeat_03,0.958333,0.909722,0.04861099999999996
Claude Opus 4.6,Hydrogenolysis,repeat_01,0.897436,0.807692,0.08974400000000005
Claude Opus 4.6,Hydrogenolysis,repeat_02,0.884616,0.775641,0.10897499999999993
Claude Opus 4.6,Hydrogenolysis,repeat_03,0.903846,0.807692,0.09615400000000007
Claude Opus 4.6,Photochemical oxidation,repeat_01,0.935898,0.916667,0.019230999999999998
Claude Opus 4.6,Photochemical oxidation,repeat_02,0.948718,0.897436,0.05128199999999994
Claude Opus 4.6,Photochemical oxidation,repeat_03,0.961538,0.955128,0.006410000000000027
Claude Sonnet 4.6,CuAAC,repeat_01,0.951389,0.958333,-0.00694399999999995
Claude Sonnet 4.6,CuAAC,repeat_02,0.951389,0.909722,0.04166700000000001
Claude Sonnet 4.6,CuAAC,repeat_03,0.958333,0.9375,0.02083299999999999
Claude Sonnet 4.6,Hydrogenolysis,repeat_01,0.833333,0.820513,0.012819999999999943
Claude Sonnet 4.6,Hydrogenolysis,repeat_02,0.955128,0.846154,0.10897400000000002
Claude Sonnet 4.6,Hydrogenolysis,repeat_03,0.826923,0.826923,0.0
Claude Sonnet 4.6,Photochemical oxidation,repeat_01,0.942308,0.935897,0.0064110000000000555
Claude Sonnet 4.6,Photochemical oxidation,repeat_02,0.948718,0.878205,0.07051299999999994
Claude Sonnet 4.6,Photochemical oxidation,repeat_03,0.948718,0.897436,0.05128199999999994
GPT-4o,CuAAC,repeat_01,0.944444,0.652778,0.291666
GPT-4o,CuAAC,repeat_02,0.944444,0.743056,0.2013879999999999
GPT-4o,CuAAC,repeat_03,0.965278,0.680556,0.2847219999999999
GPT-4o,Hydrogenolysis,repeat_01,0.858974,0.647436,0.211538
GPT-4o,Hydrogenolysis,repeat_02,0.865385,0.576923,0.288462
GPT-4o,Hydrogenolysis,repeat_03,0.858974,0.634616,0.22435800000000006
GPT-4o,Photochemical oxidation,repeat_01,0.923077,0.724359,0.19871800000000006
GPT-4o,Photochemical oxidation,repeat_02,0.916667,0.769231,0.147436
GPT-4o,Photochemical oxidation,repeat_03,0.910256,0.724359,0.18589699999999998
GPT-5.4,CuAAC,repeat_01,0.916667,0.9375,-0.02083299999999999
GPT-5.4,CuAAC,repeat_02,0.951389,0.944444,0.00694500000000009
GPT-5.4,CuAAC,repeat_03,0.9375,0.965278,-0.02777799999999997
GPT-5.4,Hydrogenolysis,repeat_01,0.884615,0.846154,0.03846100000000008
GPT-5.4,Hydrogenolysis,repeat_02,0.884615,0.794872,0.08974300000000002
GPT-5.4,Hydrogenolysis,repeat_03,0.871795,0.871795,0.0
GPT-5.4,Photochemical oxidation,repeat_01,0.961538,0.923077,0.03846099999999997
GPT-5.4,Photochemical oxidation,repeat_02,0.967949,0.935897,0.03205199999999997
GPT-5.4,Photochemical oxidation,repeat_03,0.955128,0.961538,-0.006410000000000027
Qwen3.6-27B,CuAAC,repeat_01,0.951389,0.840278,0.11111100000000007
Qwen3.6-27B,CuAAC,repeat_02,0.951389,0.861111,0.09027800000000008
Qwen3.6-27B,CuAAC,repeat_03,0.840278,0.833333,0.006944999999999979
Qwen3.6-27B,Hydrogenolysis,repeat_01,0.871795,0.717949,0.15384600000000004
Qwen3.6-27B,Hydrogenolysis,repeat_02,0.891026,0.564103,0.32692299999999996
Qwen3.6-27B,Hydrogenolysis,repeat_03,0.852564,0.660256,0.19230800000000003
Qwen3.6-27B,Photochemical oxidation,repeat_01,0.910257,0.75,0.16025699999999998
Qwen3.6-27B,Photochemical oxidation,repeat_02,0.942308,0.820513,0.12179499999999999
Qwen3.6-27B,Photochemical oxidation,repeat_03,0.923077,0.833333,0.08974400000000005
Qwen3.8-27B,CuAAC,repeat_01,0.951389,0.770833,0.18055600000000005
Qwen3.8-27B,CuAAC,repeat_02,0.944444,0.854167,0.09027699999999994
Qwen3.8-27B,CuAAC,repeat_03,0.9375,0.819444,0.11805600000000005
Qwen3.8-27B,Hydrogenolysis,repeat_01,0.878205,0.621795,0.25641
Qwen3.8-27B,Hydrogenolysis,repeat_02,0.833333,0.48718,0.346153
Qwen3.8-27B,Hydrogenolysis,repeat_03,0.878205,0.692308,0.18589699999999998
Qwen3.8-27B,Photochemical oxidation,repeat_01,0.942308,0.833333,0.10897500000000004
Qwen3.8-27B,Photochemical oxidation,repeat_02,0.929487,0.852564,0.07692299999999996
Qwen3.8-27B,Photochemical oxidation,repeat_03,0.942308,0.794872,0.147436
