model,architecture,mean,sample_sd,n_repeats,sem
Claude Opus 4.6,FlowPilot,0.9318019999999999,0.010014191169424447,3,0.0057816959673835785
Claude Opus 4.6,One-shot,0.8827753333333334,0.014916180222980876,3,0.00861186066701898
Claude Sonnet 4.6,FlowPilot,0.9240265555555555,0.02403275977201242,3,0.01387532032374098
Claude Sonnet 4.6,One-shot,0.8900758888888888,0.01365900393852318,3,0.007886029600768518
GPT-4o,FlowPilot,0.909722111111111,0.0015420063529676723,3,0.0008902777829779987
GPT-4o,One-shot,0.6837015555555556,0.011279025580121583,3,0.006511948454879871
GPT-5.4,FlowPilot,0.9256884444444444,0.007766397465530139,3,0.004483931667357453
GPT-5.4,One-shot,0.9089505555555556,0.021370793988612205,3,0.012338433662121293
Qwen3.6-27B,FlowPilot,0.903787,0.028846995614794965,3,0.01665482068351383
Qwen3.6-27B,One-shot,0.7645417777777777,0.014173776679853882,3,0.00818323378154728
Qwen3.8-27B,FlowPilot,0.9152421111111111,0.011341856571191552,3,0.006548223944487569
Qwen3.8-27B,One-shot,0.7473884444444444,0.019359150596418587,3,0.011177010808124777
