model,architecture,n_cases,mean_score_0_1,median_score_0_1,between_case_sd,generator_family_excluded_mean_0_1,critical_flags
Qwen3.8-27B,Candidate budget 1,3,0.906695,0.923077,0.048081,0.860043,0
Qwen3.8-27B,Candidate budget 4,3,0.91542,0.935897,0.049494,0.87313,0
Qwen3.8-27B,Deterministic selection,3,0.919516,0.942308,0.041341,0.879274,0
Qwen3.8-27B,Full FlowPilot,3,0.928063,0.942308,0.026545,0.892094,0
Qwen3.8-27B,No council,3,0.670228,0.673077,0.136774,0.598825,19
Qwen3.8-27B,One-pass council,3,0.932336,0.942308,0.019152,0.898505,0
Qwen3.8-27B,One-shot,3,0.742699,0.788461,0.1669,0.668536,14
Qwen3.8-27B,Without Chemistry agent,3,0.902244,0.929487,0.054274,0.853365,0
Qwen3.8-27B,Without DFMEA,3,0.926104,0.948718,0.041503,0.889156,0
Qwen3.8-27B,Without Fluidics agent,3,0.913106,0.929487,0.041999,0.869658,0
Qwen3.8-27B,Without Kinetics agent,3,0.923967,0.951389,0.056514,0.885951,0
Qwen3.8-27B,Without Safety agent,3,0.915242,0.944445,0.06007,0.872863,0
Qwen3.8-27B,Without Skeptic audit,3,0.904024,0.923611,0.039125,0.856036,0
Qwen3.8-27B,Without preselection refinement,3,0.934829,0.942308,0.028003,0.902244,0
Qwen3.8-27B,Without winner revision,3,0.926104,0.948718,0.041503,0.889156,0
