candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-42E255BD,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.557692,0.596154,0.176253,0.480769,3,11
N2-A4BD0974,Qwen3.8-27B,qwen,No council,Hydrogenolysis,0.532051,0.5,0.072807,0.490385,2,10
N2-7B88102E,Qwen3.8-27B,qwen,Full FlowPilot,Hydrogenolysis,0.897436,0.903846,0.105915,0.846154,0,0
N2-8CB37C9D,Qwen3.8-27B,qwen,Without Chemistry agent,Hydrogenolysis,0.839744,0.826923,0.154246,0.759615,0,0
N2-AC894B1E,Qwen3.8-27B,qwen,Without Kinetics agent,Hydrogenolysis,0.858974,0.865385,0.144338,0.788461,0,0
N2-25408D6D,Qwen3.8-27B,qwen,Without Fluidics agent,Hydrogenolysis,0.865385,0.865385,0.134616,0.798077,0,0
N2-C3F159E6,Qwen3.8-27B,qwen,Without Safety agent,Hydrogenolysis,0.846154,0.884615,0.176253,0.769231,0,0
N2-A66A469B,Qwen3.8-27B,qwen,Without Skeptic audit,Hydrogenolysis,0.858974,0.846154,0.135073,0.788461,0,0
N2-19E51058,Qwen3.8-27B,qwen,Without preselection refinement,Hydrogenolysis,0.903846,0.865385,0.083825,0.855769,0,0
N2-B0951DE4,Qwen3.8-27B,qwen,Without winner revision,Hydrogenolysis,0.878205,0.865385,0.115917,0.817308,0,0
N2-5861B846,Qwen3.8-27B,qwen,Deterministic selection,Hydrogenolysis,0.871795,0.846154,0.117502,0.807692,0,0
N2-272F04B8,Qwen3.8-27B,qwen,Without DFMEA,Hydrogenolysis,0.878205,0.846154,0.109351,0.817308,0,0
N2-ECB8C867,Qwen3.8-27B,qwen,One-pass council,Hydrogenolysis,0.910256,0.884615,0.080064,0.865385,0,0
N2-FE64371F,Qwen3.8-27B,qwen,Candidate budget 1,Hydrogenolysis,0.852564,0.846154,0.144338,0.778846,0,0
N2-0F87F7B1,Qwen3.8-27B,qwen,Candidate budget 4,Hydrogenolysis,0.858974,0.846154,0.135073,0.788461,0,0
N2-D9414DDD,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.788461,0.826923,0.195171,0.701923,1,3
N2-6383A78C,Qwen3.8-27B,qwen,No council,Photochemical oxidation,0.673077,0.75,0.240192,0.576923,2,7
N2-A408B878,Qwen3.8-27B,qwen,Full FlowPilot,Photochemical oxidation,0.942308,0.942308,0.057693,0.913462,0,0
N2-B6D3483C,Qwen3.8-27B,qwen,Without Chemistry agent,Photochemical oxidation,0.929487,0.923077,0.067536,0.894231,0,0
N2-1189749E,Qwen3.8-27B,qwen,Without Kinetics agent,Photochemical oxidation,0.961539,0.942308,0.033308,0.942308,0,0
N2-085A1DAD,Qwen3.8-27B,qwen,Without Fluidics agent,Photochemical oxidation,0.929487,0.942308,0.07772,0.894231,0,0
