condition,criterion_id,condition_mean,full_mean,condition_minus_full
One-shot,UO-01,1.0,1.0,0.0
One-shot,UO-02,0.861111,0.944444,-0.083333
One-shot,UO-03,0.583333,0.888889,-0.305556
One-shot,UO-04,0.777778,0.972222,-0.194444
One-shot,UO-05,0.75,0.944444,-0.194444
One-shot,UO-06,0.666667,0.972222,-0.305556
One-shot,UO-07,0.888889,0.916667,-0.027778
One-shot,UO-08,0.375,0.875,-0.5
One-shot,UO-10,0.75,0.944444,-0.194444
One-shot,UO-11,0.694444,0.833333,-0.138889
One-shot,UO-12,0.722222,0.916667,-0.194444
One-shot,UO-13,0.666667,0.861111,-0.194444
One-shot,UO-14,0.75,0.972222,-0.222222
No council,UO-01,0.916667,1.0,-0.083333
No council,UO-02,0.75,0.944444,-0.194444
No council,UO-03,0.611111,0.888889,-0.277778
No council,UO-04,0.777778,0.972222,-0.194444
No council,UO-05,0.722222,0.944444,-0.222222
No council,UO-06,0.638889,0.972222,-0.333333
No council,UO-07,0.555556,0.916667,-0.361111
No council,UO-08,0.333333,0.875,-0.541667
No council,UO-10,0.666667,0.944444,-0.277778
No council,UO-11,0.666667,0.833333,-0.166667
No council,UO-12,0.611111,0.916667,-0.305556
No council,UO-13,0.527778,0.861111,-0.333333
No council,UO-14,0.777778,0.972222,-0.194444
Without Chemistry agent,UO-01,1.0,1.0,0.0
Without Chemistry agent,UO-02,0.916667,0.944444,-0.027778
Without Chemistry agent,UO-03,0.861111,0.888889,-0.027778
Without Chemistry agent,UO-04,0.888889,0.972222,-0.083333
Without Chemistry agent,UO-05,0.944444,0.944444,0.0
Without Chemistry agent,UO-06,0.916667,0.972222,-0.055556
Without Chemistry agent,UO-07,0.888889,0.916667,-0.027778
Without Chemistry agent,UO-08,0.833333,0.875,-0.041667
Without Chemistry agent,UO-10,0.944444,0.944444,0.0
Without Chemistry agent,UO-11,0.805556,0.833333,-0.027778
Without Chemistry agent,UO-12,0.916667,0.916667,0.0
Without Chemistry agent,UO-13,0.833333,0.861111,-0.027778
Without Chemistry agent,UO-14,0.944444,0.972222,-0.027778
Without Kinetics agent,UO-01,1.0,1.0,0.0
Without Kinetics agent,UO-02,0.972222,0.944444,0.027778
Without Kinetics agent,UO-03,0.888889,0.888889,0.0
Without Kinetics agent,UO-04,0.916667,0.972222,-0.055556
Without Kinetics agent,UO-05,0.944444,0.944444,0.0
Without Kinetics agent,UO-06,0.972222,0.972222,0.0
Without Kinetics agent,UO-07,0.944444,0.916667,0.027778
Without Kinetics agent,UO-08,0.833333,0.875,-0.041667
Without Kinetics agent,UO-10,0.972222,0.944444,0.027778
Without Kinetics agent,UO-11,0.777778,0.833333,-0.055556
Without Kinetics agent,UO-12,0.916667,0.916667,0.0
Without Kinetics agent,UO-13,0.861111,0.861111,0.0
Without Kinetics agent,UO-14,0.972222,0.972222,0.0
Without Fluidics agent,UO-01,1.0,1.0,0.0
Without Fluidics agent,UO-02,0.944444,0.944444,0.0
Without Fluidics agent,UO-03,0.888889,0.888889,0.0
Without Fluidics agent,UO-04,0.916667,0.972222,-0.055556
Without Fluidics agent,UO-05,0.944444,0.944444,0.0
Without Fluidics agent,UO-06,0.944444,0.972222,-0.027778
Without Fluidics agent,UO-07,0.916667,0.916667,0.0
Without Fluidics agent,UO-08,0.833333,0.875,-0.041667
Without Fluidics agent,UO-10,0.944444,0.944444,0.0
Without Fluidics agent,UO-11,0.777778,0.833333,-0.055556
Without Fluidics agent,UO-12,0.916667,0.916667,0.0
Without Fluidics agent,UO-13,0.833333,0.861111,-0.027778
Without Fluidics agent,UO-14,0.972222,0.972222,0.0
Without Safety agent,UO-01,1.0,1.0,0.0
Without Safety agent,UO-02,0.944444,0.944444,0.0
Without Safety agent,UO-03,0.833333,0.888889,-0.055556
Without Safety agent,UO-04,0.916667,0.972222,-0.055556
Without Safety agent,UO-05,0.944444,0.944444,0.0
Without Safety agent,UO-06,0.972222,0.972222,0.0
Without Safety agent,UO-07,0.916667,0.916667,0.0
Without Safety agent,UO-08,0.875,0.875,0.0
Without Safety agent,UO-10,0.944444,0.944444,0.0
Without Safety agent,UO-11,0.805556,0.833333,-0.027778
Without Safety agent,UO-12,0.916667,0.916667,0.0
Without Safety agent,UO-13,0.861111,0.861111,0.0
Without Safety agent,UO-14,0.944444,0.972222,-0.027778
Without Skeptic audit,UO-01,1.0,1.0,0.0
Without Skeptic audit,UO-02,0.888889,0.944444,-0.055556
Without Skeptic audit,UO-03,0.916667,0.888889,0.027778
Without Skeptic audit,UO-04,0.861111,0.972222,-0.111111
Without Skeptic audit,UO-05,0.972222,0.944444,0.027778
Without Skeptic audit,UO-06,0.944444,0.972222,-0.027778
Without Skeptic audit,UO-07,0.916667,0.916667,0.0
Without Skeptic audit,UO-08,0.75,0.875,-0.125
Without Skeptic audit,UO-10,0.944444,0.944444,0.0
Without Skeptic audit,UO-11,0.777778,0.833333,-0.055556
Without Skeptic audit,UO-12,0.916667,0.916667,0.0
Without Skeptic audit,UO-13,0.861111,0.861111,0.0
Without Skeptic audit,UO-14,0.944444,0.972222,-0.027778
Without preselection refinement,UO-01,1.0,1.0,0.0
Without preselection refinement,UO-02,1.0,0.944444,0.055556
Without preselection refinement,UO-03,0.861111,0.888889,-0.027778
Without preselection refinement,UO-04,0.944444,0.972222,-0.027778
Without preselection refinement,UO-05,1.0,0.944444,0.055556
Without preselection refinement,UO-06,0.972222,0.972222,0.0
Without preselection refinement,UO-07,0.888889,0.916667,-0.027778
Without preselection refinement,UO-08,0.875,0.875,0.0
Without preselection refinement,UO-10,1.0,0.944444,0.055556
Without preselection refinement,UO-11,0.833333,0.833333,0.0
Without preselection refinement,UO-12,0.916667,0.916667,0.0
Without preselection refinement,UO-13,0.861111,0.861111,0.0
Without preselection refinement,UO-14,0.972222,0.972222,0.0
Without winner revision,UO-01,1.0,1.0,0.0
Without winner revision,UO-02,1.0,0.944444,0.055556
Without winner revision,UO-03,0.888889,0.888889,0.0
Without winner revision,UO-04,0.916667,0.972222,-0.055556
Without winner revision,UO-05,0.944444,0.944444,0.0
Without winner revision,UO-06,0.944444,0.972222,-0.027778
Without winner revision,UO-07,0.916667,0.916667,0.0
Without winner revision,UO-08,0.833333,0.875,-0.041667
Without winner revision,UO-10,0.944444,0.944444,0.0
Without winner revision,UO-11,0.833333,0.833333,0.0
