candidate_id,case,condition,condition_id,repeat_id,candidate_budget,runtime_s,llm_call_count,prompt_tokens,completion_tokens,deterministic_score,schema_valid,deployment_gate_count,executable,blocked,residence_time_min,flow_rate_mL_min,reactor_volume_mL,execution_config
N2-42E255BD,Hydrogenolysis,One-shot,qwen38_one_shot,repeat_01,2,25.184,1,1873,1074,0.8367,True,1,False,False,1.0,3.0,3.0,
N2-A4BD0974,Hydrogenolysis,No council,qwen38_no_council,repeat_01,2,63.422,3,12813,2507,1.0,True,0,False,False,7.845,0.1,3.0,
N2-7B88102E,Hydrogenolysis,Full FlowPilot,qwen38_full,repeat_01,2,454.603,16,107944,18786,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""full"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-8CB37C9D,Hydrogenolysis,Without Chemistry agent,qwen38_minus_chemistry,repeat_01,2,376.001,14,91755,15977,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_chemistry"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""kinetics"", ""fluidics"", ""safety""]}"
N2-AC894B1E,Hydrogenolysis,Without Kinetics agent,qwen38_minus_kinetics,repeat_01,2,360.118,14,90340,15183,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_kinetics"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""fluidics"", ""safety""]}"
N2-25408D6D,Hydrogenolysis,Without Fluidics agent,qwen38_minus_fluidics,repeat_01,2,376.503,14,91102,15999,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_fluidics"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""safety""]}"
N2-C3F159E6,Hydrogenolysis,Without Safety agent,qwen38_minus_safety,repeat_01,2,363.882,15,96639,15354,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_safety"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics""]}"
N2-A66A469B,Hydrogenolysis,Without Skeptic audit,qwen38_minus_skeptic,repeat_01,2,440.325,16,107696,18735,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_skeptic"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": false, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-19E51058,Hydrogenolysis,Without preselection refinement,qwen38_minus_preselection,repeat_01,2,300.026,13,83483,12623,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_preselection"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": false, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-B0951DE4,Hydrogenolysis,Without winner revision,qwen38_minus_winner_revision,repeat_01,2,438.628,16,107944,18786,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""minus_winner_revision"", ""enable_chief_llm"": true, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": false, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
N2-5861B846,Hydrogenolysis,Deterministic selection,qwen38_deterministic_chief,repeat_01,2,415.889,15,99928,17676,1.0,True,0,True,False,30.0,0.1,3.0,"{""condition_id"": ""deterministic_chief"", ""enable_chief_llm"": false, ""enable_dfmea"": true, ""enable_preselection_refinement"": true, ""enable_skeptic"": true, ""enable_winner_revision"": true, ""enabled_scoring_agents"": [""chemistry"", ""kinetics"", ""fluidics"", ""safety""]}"
