candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-42E255BD,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.711538,13,4,BLOCKED
N2-A4BD0974,qwen,qwen,Qwen3.8-27B,qwen,No council,Hydrogenolysis,0.615385,13,5,BLOCKED
N2-7B88102E,qwen,qwen,Qwen3.8-27B,qwen,Full FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-8CB37C9D,qwen,qwen,Qwen3.8-27B,qwen,Without Chemistry agent,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-AC894B1E,qwen,qwen,Qwen3.8-27B,qwen,Without Kinetics agent,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-25408D6D,qwen,qwen,Qwen3.8-27B,qwen,Without Fluidics agent,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-C3F159E6,qwen,qwen,Qwen3.8-27B,qwen,Without Safety agent,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-A66A469B,qwen,qwen,Qwen3.8-27B,qwen,Without Skeptic audit,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-19E51058,qwen,qwen,Qwen3.8-27B,qwen,Without preselection refinement,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-B0951DE4,qwen,qwen,Qwen3.8-27B,qwen,Without winner revision,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-5861B846,qwen,qwen,Qwen3.8-27B,qwen,Deterministic selection,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-272F04B8,qwen,qwen,Qwen3.8-27B,qwen,Without DFMEA,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-ECB8C867,qwen,qwen,Qwen3.8-27B,qwen,One-pass council,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-FE64371F,qwen,qwen,Qwen3.8-27B,qwen,Candidate budget 1,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-0F87F7B1,qwen,qwen,Qwen3.8-27B,qwen,Candidate budget 4,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-D9414DDD,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.961538,13,0,EXECUTABLE
