condition,n_pairs,mean_condition_minus_full,sd,wins,ties,losses
Candidate budget 1,3,-0.021368,0.022512,0,1,2
Candidate budget 4,3,-0.012643,0.023336,1,0,2
Deterministic selection,3,-0.008547,0.014804,0,2,1
No council,3,-0.257835,0.113677,0,0,3
One-pass council,3,0.004273,0.007402,1,1,1
One-shot,3,-0.185364,0.141283,0,0,3
Without Chemistry agent,3,-0.025819,0.027758,0,0,3
Without DFMEA,3,-0.001959,0.01496,2,0,1
Without Fluidics agent,3,-0.014957,0.016132,0,1,2
Without Kinetics agent,3,-0.004096,0.03039,2,0,1
Without Safety agent,3,-0.012821,0.03392,1,1,1
Without Skeptic audit,3,-0.024039,0.013118,0,0,3
Without preselection refinement,3,0.006766,0.006951,2,1,0
Without winner revision,3,-0.001959,0.01496,2,0,1
