condition,n_outcomes,mean_score_0_1,score_sd,mean_deterministic_score,executable_rate,schema_valid_rate,mean_gate_count,critical_flags,mean_runtime_s,mean_llm_calls,mean_total_tokens
Without preselection refinement,3,0.934829,0.028003,0.9881,1.0,1.0,0.0,0,231.512,11.0,71412.667
One-pass council,3,0.932336,0.019152,0.9881,1.0,1.0,0.0,0,217.541,9.667,63626.0
Full FlowPilot,3,0.928063,0.026545,0.9881,1.0,1.0,0.0,0,334.757,13.333,91539.667
Without winner revision,3,0.926104,0.041503,0.9881,1.0,1.0,0.0,0,322.119,13.0,90060.0
Without DFMEA,3,0.926104,0.041503,0.9881,1.0,1.0,0.0,0,314.961,12.667,87496.0
Without Kinetics agent,3,0.923967,0.056514,0.9881,1.0,1.0,0.0,0,270.28,12.0,78539.667
Deterministic selection,3,0.919516,0.041341,0.9881,1.0,1.0,0.0,0,306.31,12.667,85949.0
Candidate budget 4,3,0.91542,0.049494,0.9881,1.0,1.0,0.0,0,511.943,18.667,140035.0
Without Safety agent,3,0.915242,0.06007,0.9881,1.0,1.0,0.0,0,273.388,12.333,80905.667
Without Fluidics agent,3,0.913106,0.041999,0.9881,1.0,1.0,0.0,0,241.367,10.667,69812.667
Candidate budget 1,3,0.906695,0.048081,0.9881,1.0,1.0,0.0,0,228.374,12.333,76903.667
Without Skeptic audit,3,0.904024,0.039125,0.9881,1.0,1.0,0.0,0,324.361,13.333,91402.333
Without Chemistry agent,3,0.902244,0.054274,0.9881,1.0,1.0,0.0,0,281.701,12.0,79988.0
One-shot,3,0.742699,0.1669,0.945567,0.0,1.0,0.333333,14,38.945,1.0,3342.333
No council,3,0.670228,0.136774,0.9932,0.0,1.0,0.0,19,57.907,3.0,14509.0
