case,repeat_id,condition,condition_score,full_score,condition_minus_full
Hydrogenolysis,repeat_01,One-shot,0.557692,0.897436,-0.339744
Hydrogenolysis,repeat_01,No council,0.532051,0.897436,-0.365385
Hydrogenolysis,repeat_01,Without Chemistry agent,0.839744,0.897436,-0.057692
Hydrogenolysis,repeat_01,Without Kinetics agent,0.858974,0.897436,-0.038462
Hydrogenolysis,repeat_01,Without Fluidics agent,0.865385,0.897436,-0.032051
Hydrogenolysis,repeat_01,Without Safety agent,0.846154,0.897436,-0.051282
Hydrogenolysis,repeat_01,Without Skeptic audit,0.858974,0.897436,-0.038462
Hydrogenolysis,repeat_01,Without preselection refinement,0.903846,0.897436,0.00641
Hydrogenolysis,repeat_01,Without winner revision,0.878205,0.897436,-0.019231
Hydrogenolysis,repeat_01,Deterministic selection,0.871795,0.897436,-0.025641
Hydrogenolysis,repeat_01,Without DFMEA,0.878205,0.897436,-0.019231
Hydrogenolysis,repeat_01,One-pass council,0.910256,0.897436,0.01282
Hydrogenolysis,repeat_01,Candidate budget 1,0.852564,0.897436,-0.044872
Hydrogenolysis,repeat_01,Candidate budget 4,0.858974,0.897436,-0.038462
Photochemical oxidation,repeat_01,One-shot,0.788461,0.942308,-0.153847
Photochemical oxidation,repeat_01,No council,0.673077,0.942308,-0.269231
Photochemical oxidation,repeat_01,Without Chemistry agent,0.929487,0.942308,-0.012821
Photochemical oxidation,repeat_01,Without Kinetics agent,0.961539,0.942308,0.019231
Photochemical oxidation,repeat_01,Without Fluidics agent,0.929487,0.942308,-0.012821
Photochemical oxidation,repeat_01,Without Safety agent,0.955128,0.942308,0.01282
Photochemical oxidation,repeat_01,Without Skeptic audit,0.929487,0.942308,-0.012821
Photochemical oxidation,repeat_01,Without preselection refinement,0.942308,0.942308,0.0
Photochemical oxidation,repeat_01,Without winner revision,0.948718,0.942308,0.00641
Photochemical oxidation,repeat_01,Deterministic selection,0.942308,0.942308,0.0
Photochemical oxidation,repeat_01,Without DFMEA,0.948718,0.942308,0.00641
Photochemical oxidation,repeat_01,One-pass council,0.942308,0.942308,0.0
Photochemical oxidation,repeat_01,Candidate budget 1,0.923077,0.942308,-0.019231
Photochemical oxidation,repeat_01,Candidate budget 4,0.935897,0.942308,-0.006411
CuAAC,repeat_01,One-shot,0.881944,0.944445,-0.062501
CuAAC,repeat_01,No council,0.805555,0.944445,-0.13889
CuAAC,repeat_01,Without Chemistry agent,0.9375,0.944445,-0.006945
CuAAC,repeat_01,Without Kinetics agent,0.951389,0.944445,0.006944
CuAAC,repeat_01,Without Fluidics agent,0.944445,0.944445,0.0
CuAAC,repeat_01,Without Safety agent,0.944445,0.944445,0.0
CuAAC,repeat_01,Without Skeptic audit,0.923611,0.944445,-0.020834
CuAAC,repeat_01,Without preselection refinement,0.958333,0.944445,0.013888
CuAAC,repeat_01,Without winner revision,0.951389,0.944445,0.006944
CuAAC,repeat_01,Deterministic selection,0.944445,0.944445,0.0
CuAAC,repeat_01,Without DFMEA,0.951389,0.944445,0.006944
CuAAC,repeat_01,One-pass council,0.944444,0.944445,-1e-06
CuAAC,repeat_01,Candidate budget 1,0.944445,0.944445,0.0
CuAAC,repeat_01,Candidate budget 4,0.951389,0.944445,0.006944
