candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-09AF5CB0,GPT-5.4,openai,One-shot,Hydrogenolysis,0.846154,0.903846,0.099926,0.903846,1,1
N2-259B1D8D,GPT-5.4,openai,One-shot,Hydrogenolysis,0.794872,0.865385,0.139119,0.875,0,0
N2-12141CAC,GPT-5.4,openai,One-shot,Hydrogenolysis,0.871795,0.903846,0.109351,0.932692,1,1
N2-9A713DEA,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.884615,0.903846,0.126105,0.951923,0,0
N2-3FCDFE52,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.884615,0.884615,0.115385,0.942308,0,0
N2-30B83F8C,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.871795,0.884615,0.135073,0.942308,0,0
N2-EA1F3CBC,GPT-5.4,openai,One-shot,Photochemical oxidation,0.923077,0.942308,0.088127,0.971154,0,0
N2-6EC3874C,GPT-5.4,openai,One-shot,Photochemical oxidation,0.935897,0.942308,0.048396,0.961539,0,0
N2-0E011400,GPT-5.4,openai,One-shot,Photochemical oxidation,0.961538,0.961538,0.038462,0.980769,0,0
N2-4061E17E,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.961538,0.980769,0.05088,0.990385,0,0
N2-3413FE33,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.967949,0.980769,0.040032,0.990385,0,0
N2-33C43F95,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.955128,0.942308,0.040032,0.971154,0,0
N2-45C1A6CF,GPT-5.4,openai,One-shot,CuAAC,0.9375,0.9375,0.0625,0.96875,0,0
N2-D85E475A,GPT-5.4,openai,One-shot,CuAAC,0.944444,0.958333,0.063647,0.979167,0,0
N2-56C8A1EB,GPT-5.4,openai,One-shot,CuAAC,0.965278,0.958333,0.031823,0.979167,0,0
N2-DE57F440,GPT-5.4,openai,FlowPilot,CuAAC,0.916667,0.895833,0.075116,0.927083,0,0
N2-F56C1786,GPT-5.4,openai,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.96875,0,0
N2-A8923ABE,GPT-5.4,openai,FlowPilot,CuAAC,0.9375,0.9375,0.0625,0.96875,0,0
