model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
GPT-5.4,UO-01,0.990741,1.0,0.009259
GPT-5.4,UO-02,0.972222,0.981481,0.009259
GPT-5.4,UO-03,0.842593,0.888889,0.046296
GPT-5.4,UO-04,0.916667,0.907407,-0.009259
GPT-5.4,UO-05,0.972222,0.972222,0.0
GPT-5.4,UO-06,0.907407,0.953704,0.046296
GPT-5.4,UO-07,0.851852,0.916667,0.064815
GPT-5.4,UO-08,0.680556,0.930556,0.25
GPT-5.4,UO-10,0.916667,0.935185,0.018519
GPT-5.4,UO-11,0.833333,0.814815,-0.018519
GPT-5.4,UO-12,0.990741,0.935185,-0.055556
GPT-5.4,UO-13,0.888889,0.842593,-0.046296
GPT-5.4,UO-14,0.962963,0.953704,-0.009259
