candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-09AF5CB0,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,0.903846,13,1,SCREEN_ONLY
N2-259B1D8D,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,0.884615,13,0,SCREEN_ONLY
N2-12141CAC,qwen,qwen,GPT-5.4,openai,One-shot,Hydrogenolysis,0.961538,13,0,EXECUTABLE
N2-9A713DEA,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-3FCDFE52,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-30B83F8C,qwen,qwen,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-EA1F3CBC,qwen,qwen,GPT-5.4,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-6EC3874C,qwen,qwen,GPT-5.4,openai,One-shot,Photochemical oxidation,0.980769,13,0,EXECUTABLE
N2-0E011400,qwen,qwen,GPT-5.4,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-4061E17E,qwen,qwen,GPT-5.4,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-3413FE33,qwen,qwen,GPT-5.4,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-33C43F95,qwen,qwen,GPT-5.4,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-45C1A6CF,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-D85E475A,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-56C8A1EB,qwen,qwen,GPT-5.4,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-DE57F440,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-F56C1786,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-A8923ABE,qwen,qwen,GPT-5.4,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-09AF5CB0,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.730769,13,0,SCREEN_ONLY
N2-259B1D8D,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.634615,13,0,SCREEN_ONLY
N2-12141CAC,openai,openai,GPT-5.4,openai,One-shot,Hydrogenolysis,0.75,13,1,SCREEN_ONLY
N2-9A713DEA,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.75,13,0,SCREEN_ONLY
N2-3FCDFE52,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.769231,13,0,SCREEN_ONLY
N2-30B83F8C,openai,openai,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.730769,13,0,SCREEN_ONLY
N2-EA1F3CBC,openai,openai,GPT-5.4,openai,One-shot,Photochemical oxidation,0.826923,13,0,SCREEN_ONLY
