model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
GPT-5.4,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-5.4,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-5.4,FlowPilot,CuAAC,flow_rate_mL_min,3,1.27037,1.19599867,94.1457,0.11111,2.5
GPT-5.4,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.4,FlowPilot,CuAAC,residence_time_min,3,1.02334233,1.45350563,142.0351,0.12,2.700027
GPT-5.4,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
GPT-5.4,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-5.4,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.4,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.13885667,0.04739926,34.1354,0.10001,0.19167
GPT-5.4,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4,FlowPilot,Hydrogenolysis,residence_time_min,3,23.223347,7.20574862,31.028,15.651902,29.997
GPT-5.4,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.4,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.4,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.120028,0.00734736,6.1214,0.111544,0.12427
GPT-5.4,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.4,FlowPilot,Photochemical oxidation,residence_time_min,3,8.35302,0.53005258,6.3456,8.046994,8.965072
GPT-5.4,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
GPT-5.4,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-5.4,One-shot,CuAAC,concentration_M,3,0.20833333,0.07216878,34.641,0.125,0.25
GPT-5.4,One-shot,CuAAC,flow_rate_mL_min,3,0.08333333,0.02886751,34.641,0.05,0.1
GPT-5.4,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.4,One-shot,CuAAC,residence_time_min,3,4.0,1.73205081,43.3013,3.0,6.0
GPT-5.4,One-shot,CuAAC,temperature_C,3,143.33333333,11.54700538,8.0561,130.0,150.0
GPT-5.4,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-5.4,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.4,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.175,0.04330127,24.7436,0.125,0.2
GPT-5.4,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4,One-shot,Hydrogenolysis,residence_time_min,3,6.86,7.28310373,106.1677,0.96,15.0
GPT-5.4,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.4,One-shot,Photochemical oxidation,BPR_bar,2,3.0,0.0,0.0,3.0,3.0
GPT-5.4,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.4,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.2,0.0,0.0,0.2,0.2
GPT-5.4,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.4,One-shot,Photochemical oxidation,residence_time_min,3,5.0,0.0,0.0,5.0,5.0
GPT-5.4,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
