model,architecture,case,repeat_id,parameter,value
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,residence_time_min,0.96
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.125
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.4,One-shot,Hydrogenolysis,repeat_01,BPR_bar,21.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,residence_time_min,4.62
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.4,One-shot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,residence_time_min,15.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,temperature_C,60.0
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,concentration_M,0.126
GPT-5.4,One-shot,Hydrogenolysis,repeat_03,BPR_bar,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,residence_time_min,5.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
GPT-5.4,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,residence_time_min,5.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,temperature_C,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,concentration_M,0.1
GPT-5.4,One-shot,Photochemical oxidation,repeat_02,BPR_bar,3.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,residence_time_min,5.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.2
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,temperature_C,21.0
GPT-5.4,One-shot,Photochemical oxidation,repeat_03,concentration_M,0.1
GPT-5.4,One-shot,CuAAC,repeat_01,residence_time_min,6.0
GPT-5.4,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.05
GPT-5.4,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
GPT-5.4,One-shot,CuAAC,repeat_01,temperature_C,130.0
GPT-5.4,One-shot,CuAAC,repeat_01,concentration_M,0.125
GPT-5.4,One-shot,CuAAC,repeat_01,BPR_bar,20.0
GPT-5.4,One-shot,CuAAC,repeat_02,residence_time_min,3.0
GPT-5.4,One-shot,CuAAC,repeat_02,flow_rate_mL_min,0.1
GPT-5.4,One-shot,CuAAC,repeat_02,reactor_volume_mL,0.3
GPT-5.4,One-shot,CuAAC,repeat_02,temperature_C,150.0
GPT-5.4,One-shot,CuAAC,repeat_02,concentration_M,0.25
GPT-5.4,One-shot,CuAAC,repeat_02,BPR_bar,20.0
GPT-5.4,One-shot,CuAAC,repeat_03,residence_time_min,3.0
GPT-5.4,One-shot,CuAAC,repeat_03,flow_rate_mL_min,0.1
GPT-5.4,One-shot,CuAAC,repeat_03,reactor_volume_mL,0.3
GPT-5.4,One-shot,CuAAC,repeat_03,temperature_C,150.0
GPT-5.4,One-shot,CuAAC,repeat_03,concentration_M,0.25
GPT-5.4,One-shot,CuAAC,repeat_03,BPR_bar,20.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,29.997
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.10001
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_01,BPR_bar,21.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,residence_time_min,15.651902
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.19167
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,temperature_C,60.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,concentration_M,0.126
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_02,BPR_bar,21.0
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,residence_time_min,24.021139
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.12489
GPT-5.4,FlowPilot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
