candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-D6DA157A,GPT-5.5,openai,One-shot,Hydrogenolysis,0.961538,0.961538,0.038462,0.980769,0,0
N2-BC9FFB7B,GPT-5.5,openai,One-shot,Hydrogenolysis,0.980769,0.980769,0.019231,0.990385,0,0
N2-40D1514A,GPT-5.5,openai,One-shot,Hydrogenolysis,0.897436,0.923077,0.061818,0.932693,2,2
N2-FEDB11D9,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.371795,0.403846,0.128045,0.442307,2,15
N2-0FF3651F,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.358974,0.423077,0.163556,0.451923,2,17
N2-5734770C,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.314103,0.288462,0.15544,0.326923,3,17
N2-57895644,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.698718,0.75,0.272869,0.846154,2,4
N2-0BD8BC31,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.685897,0.692308,0.221224,0.798077,1,1
N2-B3EE7F0F,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.807692,0.846154,0.214145,0.923077,0,0
N2-7D63E813,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,0.884615,0.903846,0.126105,0.951923,0,0
N2-6E2CECED,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,0.865385,0.865385,0.134616,0.932692,0,0
N2-60B77C98,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,0.839744,0.826923,0.154246,0.913461,0,0
N2-8E7A7350,GPT-5.2,openai,One-shot,Hydrogenolysis,0.891025,0.903846,0.07772,0.932692,0,0
N2-2D56B405,GPT-5.2,openai,One-shot,Hydrogenolysis,0.788462,0.903846,0.216719,0.913462,1,3
N2-36965072,GPT-5.2,openai,One-shot,Hydrogenolysis,0.852564,0.884615,0.128045,0.923077,0,0
N2-EBA3ECB2,GPT-5.2,openai,FlowPilot,Hydrogenolysis,0.884615,0.826923,0.099926,0.913461,0,0
N2-D1622DAC,GPT-5.2,openai,FlowPilot,Hydrogenolysis,0.923077,0.903846,0.069337,0.932692,0,0
N2-3FBAA1C8,GPT-5.2,openai,FlowPilot,Hydrogenolysis,0.878205,0.846154,0.109351,0.923077,0,0
N2-9F1BDA8C,GPT-5.5,openai,One-shot,Photochemical oxidation,0.980769,0.980769,0.019231,0.990385,0,0
N2-690DC3E8,GPT-5.5,openai,One-shot,Photochemical oxidation,0.974359,0.961538,0.022206,0.980769,0,0
N2-D32B9E26,GPT-5.5,openai,One-shot,Photochemical oxidation,0.980769,0.980769,0.019231,0.990385,0,0
