candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-D6DA157A,GPT-5.5,openai,One-shot,Hydrogenolysis,0.961538,0.961538,0.038462,0.980769,0,0,gpt55,repeat_01,964615064,0c3f30aec5e6a3e4350d90b83751e75a00d5726e3009f9262e89f71e298312f7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt55_one_shot/repeat_01
N2-BC9FFB7B,GPT-5.5,openai,One-shot,Hydrogenolysis,0.980769,0.980769,0.019231,0.990385,0,0,gpt55,repeat_02,12645241,7ee54a4688e9ca4af10a1000126037552c8322e6839c89f2a176fa922a43a538,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt55_one_shot/repeat_02
N2-40D1514A,GPT-5.5,openai,One-shot,Hydrogenolysis,0.897436,0.923077,0.061818,0.932693,2,2,gpt55,repeat_03,827709775,e150538be0549e253c4698245c58ad59816381e767f4bcdce0d2734a21060a2e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt55_one_shot/repeat_03
N2-FEDB11D9,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.371795,0.403846,0.128045,0.442307,2,15,gpt55,repeat_01,964615064,46c01aa9f60fcdabbd7c51cdc5d455dac62c2513018ea5d41cea2b5c39fb3a53,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt55_flowpilot/repeat_01
N2-0FF3651F,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.358974,0.423077,0.163556,0.451923,2,17,gpt55,repeat_02,12645241,4f7164eeb4c0c149ba56db062eb8658684bd723740519ac137464aa821e793de,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt55_flowpilot/repeat_02
N2-5734770C,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.314103,0.288462,0.15544,0.326923,3,17,gpt55,repeat_03,827709775,1be595cef858fc9689ebf74ab2c3dce36dabd228128bcef6dd55a3d65409ac2e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt55_flowpilot/repeat_03
N2-57895644,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.698718,0.75,0.272869,0.846154,2,4,gpt54mini,repeat_01,1287745331,611388f31725a4171d29787bc0fb19b0a0cf2330d3ce2060cebdb347e459dd8c,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt54mini_one_shot/repeat_01
N2-0BD8BC31,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.685897,0.692308,0.221224,0.798077,1,1,gpt54mini,repeat_02,317705568,1ce86df2766262544fc2a96e255cb5b7786066f4c28d9e68b0d11bd62f12b9ee,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt54mini_one_shot/repeat_02
N2-B3EE7F0F,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.807692,0.846154,0.214145,0.923077,0,0,gpt54mini,repeat_03,115965964,e1a95da007a7f4195132c95d23c8ddb155edb862297089db18394ced38d4dfd9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt54mini_one_shot/repeat_03
N2-7D63E813,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,0.884615,0.903846,0.126105,0.951923,0,0,gpt54mini,repeat_01,1287745331,66aad3e697da9de189b9db6c71f87d5c1ef3a7cbbe796ab028ee8b94b0c8efba,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt54mini_flowpilot/repeat_01
N2-6E2CECED,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,0.865385,0.865385,0.134616,0.932692,0,0,gpt54mini,repeat_02,317705568,0acd9b965a3562efe7bdf9f854fa51fa408833d94f653d450620029dc291814a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt54mini_flowpilot/repeat_02
N2-60B77C98,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,0.839744,0.826923,0.154246,0.913461,0,0,gpt54mini,repeat_03,115965964,da2d064a40cddbb3467bfb164623c62c671eb6ab8c5c236c166e9ee74365a741,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt54mini_flowpilot/repeat_03
N2-8E7A7350,GPT-5.2,openai,One-shot,Hydrogenolysis,0.891025,0.903846,0.07772,0.932692,0,0,gpt52,repeat_01,488476795,9467d61d3e34af2eb697b97bd27154c911d3627326f1bccf2a61230369f59000,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt52_one_shot/repeat_01
N2-2D56B405,GPT-5.2,openai,One-shot,Hydrogenolysis,0.788462,0.903846,0.216719,0.913462,1,3,gpt52,repeat_02,2035712088,4fed5274c1cd482445cf72b9eb0ed5652ddafd85484d11789fba192808b9688e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt52_one_shot/repeat_02
N2-36965072,GPT-5.2,openai,One-shot,Hydrogenolysis,0.852564,0.884615,0.128045,0.923077,0,0,gpt52,repeat_03,555235569,27cdea32ac1ac3d3023f88e6620bd43c2c63a143596633b6a02f662b2f08b79b,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_model_extension_three_repeat_20260824/generation/hydrogenolysis/gpt52_one_shot/repeat_03
