model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
GPT-5.2,UO-01,1.0,0.888889,-0.111111
GPT-5.2,UO-02,0.981481,0.87037,-0.111111
GPT-5.2,UO-03,0.814815,0.777778,-0.037037
GPT-5.2,UO-04,0.907407,0.805556,-0.101852
GPT-5.2,UO-05,0.916667,0.87037,-0.046296
GPT-5.2,UO-06,0.907407,0.851852,-0.055556
GPT-5.2,UO-07,0.944444,0.824074,-0.12037
GPT-5.2,UO-08,0.708333,0.736111,0.027778
GPT-5.2,UO-10,0.925926,0.861111,-0.064815
GPT-5.2,UO-11,0.833333,0.722222,-0.111111
GPT-5.2,UO-12,0.972222,0.814815,-0.157407
GPT-5.2,UO-13,0.87037,0.777778,-0.092593
GPT-5.2,UO-14,0.953704,0.851852,-0.101852
GPT-5.4 mini,UO-01,0.962963,0.972222,0.009259
GPT-5.4 mini,UO-02,0.916667,0.925926,0.009259
GPT-5.4 mini,UO-03,0.740741,0.768519,0.027778
GPT-5.4 mini,UO-04,0.842593,0.907407,0.064815
GPT-5.4 mini,UO-05,0.888889,0.962963,0.074074
GPT-5.4 mini,UO-06,0.759259,0.888889,0.12963
GPT-5.4 mini,UO-07,0.805556,0.916667,0.111111
GPT-5.4 mini,UO-08,0.625,0.861111,0.236111
GPT-5.4 mini,UO-10,0.861111,0.962963,0.101852
GPT-5.4 mini,UO-11,0.824074,0.814815,-0.009259
GPT-5.4 mini,UO-12,0.888889,0.916667,0.027778
GPT-5.4 mini,UO-13,0.768519,0.814815,0.046296
GPT-5.4 mini,UO-14,0.87963,0.916667,0.037037
GPT-5.5,UO-01,1.0,0.898148,-0.101852
GPT-5.5,UO-02,1.0,0.805556,-0.194444
GPT-5.5,UO-03,0.962963,0.694444,-0.268519
GPT-5.5,UO-04,0.935185,0.759259,-0.175926
GPT-5.5,UO-05,0.990741,0.527778,-0.462963
GPT-5.5,UO-06,1.0,0.555556,-0.444444
GPT-5.5,UO-07,0.898148,0.592593,-0.305556
GPT-5.5,UO-08,0.972222,0.486111,-0.486111
GPT-5.5,UO-10,1.0,0.657407,-0.342593
GPT-5.5,UO-11,0.833333,0.611111,-0.222222
GPT-5.5,UO-12,1.0,0.62963,-0.37037
GPT-5.5,UO-13,0.925926,0.5,-0.425926
GPT-5.5,UO-14,0.990741,0.657407,-0.333333
