candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-D6DA157A,qwen,qwen,GPT-5.5,openai,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-BC9FFB7B,qwen,qwen,GPT-5.5,openai,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-40D1514A,qwen,qwen,GPT-5.5,openai,One-shot,Hydrogenolysis,0.942308,13,1,EXECUTABLE
N2-FEDB11D9,qwen,qwen,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.480769,13,9,BLOCKED
N2-0FF3651F,qwen,qwen,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.480769,13,9,BLOCKED
N2-5734770C,qwen,qwen,GPT-5.5,openai,FlowPilot,Hydrogenolysis,0.480769,13,9,BLOCKED
N2-57895644,qwen,qwen,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.942308,13,1,SCREEN_ONLY
N2-0BD8BC31,qwen,qwen,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,0.903846,13,0,SCREEN_ONLY
N2-B3EE7F0F,qwen,qwen,GPT-5.4 mini,openai,One-shot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-7D63E813,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-6E2CECED,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-60B77C98,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-8E7A7350,qwen,qwen,GPT-5.2,openai,One-shot,Hydrogenolysis,0.961538,13,0,EXECUTABLE
N2-2D56B405,qwen,qwen,GPT-5.2,openai,One-shot,Hydrogenolysis,0.923077,13,0,EXECUTABLE
N2-36965072,qwen,qwen,GPT-5.2,openai,One-shot,Hydrogenolysis,0.961538,13,0,EXECUTABLE
N2-EBA3ECB2,qwen,qwen,GPT-5.2,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-D1622DAC,qwen,qwen,GPT-5.2,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-3FBAA1C8,qwen,qwen,GPT-5.2,openai,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-9F1BDA8C,qwen,qwen,GPT-5.5,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-690DC3E8,qwen,qwen,GPT-5.5,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-D32B9E26,qwen,qwen,GPT-5.5,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-5F3E51FF,qwen,qwen,GPT-5.5,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-8CED55AA,qwen,qwen,GPT-5.5,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-617A7A64,qwen,qwen,GPT-5.5,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-FEA8F846,qwen,qwen,GPT-5.4 mini,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-7BC7CF19,qwen,qwen,GPT-5.4 mini,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-37714847,qwen,qwen,GPT-5.4 mini,openai,One-shot,Photochemical oxidation,0.980769,13,0,EXECUTABLE
N2-A5C3DACC,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-D7C22119,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-7841A188,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-A5972380,qwen,qwen,GPT-5.2,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-E6127704,qwen,qwen,GPT-5.2,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-77EA3111,qwen,qwen,GPT-5.2,openai,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-5F53422B,qwen,qwen,GPT-5.2,openai,FlowPilot,Photochemical oxidation,0.0,13,13,BLOCKED
N2-9E0C3C3A,qwen,qwen,GPT-5.2,openai,FlowPilot,Photochemical oxidation,0.980769,13,0,EXECUTABLE
N2-2D03246D,qwen,qwen,GPT-5.2,openai,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-F2B9678D,qwen,qwen,GPT-5.5,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-AEEF267D,qwen,qwen,GPT-5.5,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-110CA900,qwen,qwen,GPT-5.5,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-7348E221,qwen,qwen,GPT-5.5,openai,FlowPilot,CuAAC,0.854167,12,1,BLOCKED
N2-96EDDA14,qwen,qwen,GPT-5.5,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-6CBC6B84,qwen,qwen,GPT-5.5,openai,FlowPilot,CuAAC,0.5,12,8,BLOCKED
N2-8A827CF7,qwen,qwen,GPT-5.4 mini,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-0EFDF0CC,qwen,qwen,GPT-5.4 mini,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-D794DCB6,qwen,qwen,GPT-5.4 mini,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-D8B91EBA,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-8DA320B7,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-02886BAD,qwen,qwen,GPT-5.4 mini,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-C813506D,qwen,qwen,GPT-5.2,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-D2897AD2,qwen,qwen,GPT-5.2,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-01B31DB0,qwen,qwen,GPT-5.2,openai,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-3C797A8B,qwen,qwen,GPT-5.2,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-3A124317,qwen,qwen,GPT-5.2,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-F616854D,qwen,qwen,GPT-5.2,openai,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-D6DA157A,openai,openai,GPT-5.5,openai,One-shot,Hydrogenolysis,0.923077,13,0,SCREEN_ONLY
