model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
GPT-5.2,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-5.2,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-5.2,FlowPilot,CuAAC,flow_rate_mL_min,3,0.12037,0.02625473,21.8117,0.1,0.15
GPT-5.2,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.2,FlowPilot,CuAAC,residence_time_min,3,2.56667567,0.51316365,19.9933,2.0,3.0
GPT-5.2,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
GPT-5.2,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
GPT-5.2,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.2,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.10000667,5.77e-06,0.0058,0.1,0.10001
GPT-5.2,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.2,FlowPilot,Hydrogenolysis,residence_time_min,3,29.998,0.00173205,0.0058,29.997,30.0
GPT-5.2,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.2,FlowPilot,Photochemical oxidation,BPR_bar,2,3.0,0.0,0.0,3.0,3.0
GPT-5.2,FlowPilot,Photochemical oxidation,concentration_M,2,0.1,0.0,0.0,0.1,0.1
GPT-5.2,FlowPilot,Photochemical oxidation,flow_rate_mL_min,2,0.37365,0.44116392,118.0688,0.0617,0.6856
GPT-5.2,FlowPilot,Photochemical oxidation,reactor_volume_mL,2,1.0,0.0,0.0,1.0,1.0
GPT-5.2,FlowPilot,Photochemical oxidation,residence_time_min,2,8.8330155,10.42903236,118.0688,1.458576,16.207455
GPT-5.2,FlowPilot,Photochemical oxidation,temperature_C,2,21.0,0.0,0.0,21.0,21.0
GPT-5.2,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
GPT-5.2,One-shot,CuAAC,concentration_M,1,0.25,0.0,0.0,0.25,0.25
GPT-5.2,One-shot,CuAAC,flow_rate_mL_min,3,0.1,0.0,0.0,0.1,0.1
GPT-5.2,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.2,One-shot,CuAAC,residence_time_min,3,3.0,0.0,0.0,3.0,3.0
GPT-5.2,One-shot,CuAAC,temperature_C,3,120.0,0.0,0.0,120.0,120.0
GPT-5.2,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
